# timestamp	V	A	W	V	A
1607433406.89847	1616.781	0.241	139.567	326.838	0.191
1607433406.90044	230.821	0.035	2.890	326.516	0.187
1607433406.93344	230.883	0.034	2.929	326.435	0.183
1607433406.96844	230.904	0.035	2.947	326.516	0.183
1607433406.97143	230.866	0.034	2.876	326.677	0.183
1607433406.97243	230.777	0.034	2.849	326.435	0.180
1607433407.03043	230.817	0.035	2.899	326.435	0.182
1607433407.03342	230.932	0.034	2.864	326.516	0.182
1607433407.06543	230.950	0.035	2.924	326.516	0.183
1607433407.09842	230.919	0.034	2.886	326.596	0.182
1607433407.13143	230.913	0.034	2.863	326.677	0.185
1607433407.13342	230.933	0.034	2.905	326.516	0.181
1607433407.13442	230.969	0.035	2.902	326.596	0.181
1607433407.16742	230.963	0.035	2.948	326.516	0.186
1607433407.17342	230.901	0.035	2.880	326.516	0.183
1607433407.20443	230.874	0.035	2.900	326.516	0.186
1607433407.23741	230.874	0.035	2.897	326.516	0.189
1607433407.26942	230.883	0.035	2.919	326.596	0.183
1607433407.27441	230.909	0.035	2.898	326.596	0.190
1607433407.27541	230.915	0.035	2.875	326.516	0.187
1607433407.30741	230.922	0.034	2.900	326.516	0.187
1607433407.33942	230.863	0.034	2.844	326.596	0.179
1607433407.34041	230.874	0.035	2.922	326.516	0.182
1607433407.37342	230.917	0.035	2.910	326.677	0.186
1607433407.37442	230.948	0.035	2.941	326.677	0.186
1607433407.40543	230.969	0.035	2.923	326.596	0.183
1607433407.44242	230.967	0.034	2.872	326.596	0.183
1607433407.44341	231.046	0.035	2.939	326.677	0.182
1607433407.47442	231.061	0.035	2.904	326.596	0.185
1607433407.50742	231.010	0.034	2.881	326.677	0.178
1607433407.50840	231.013	0.035	2.862	326.677	0.183
1607433407.50940	230.997	0.035	2.861	326.677	0.187
1607433407.54041	231.095	0.035	2.921	326.838	0.186
1607433407.57240	231.126	0.035	2.939	326.757	0.187
1607433407.60541	231.134	0.035	2.944	326.757	0.183
1607433407.60640	231.134	0.035	2.910	326.918	0.183
1607433407.63741	231.141	0.034	2.886	326.838	0.182
1607433407.64340	231.181	0.035	2.876	326.918	0.183
1607433407.67441	231.176	0.035	2.950	326.757	0.185
1607433407.67540	231.155	0.034	2.905	326.918	0.182
1607433407.70741	231.156	0.034	2.869	326.838	0.178
1607433407.71340	231.119	0.035	2.895	326.838	0.185
1607433407.74539	231.153	0.035	2.913	326.838	0.182
1607433407.77740	231.139	0.034	2.908	326.999	0.183
1607433407.77939	231.133	0.034	2.894	326.757	0.182
1607433407.84640	231.140	0.035	2.919	326.918	0.182
1607433407.84738	231.131	0.034	2.872	326.757	0.183
1607433407.87939	231.134	0.034	2.870	326.918	0.181
1607433407.88038	231.115	0.035	2.818	326.999	0.185
1607433407.91338	231.153	0.035	2.891	326.999	0.189
1607433407.91438	231.160	0.034	2.897	326.999	0.178
1607433407.94539	231.191	0.035	2.909	326.918	0.188
1607433407.95238	231.203	0.035	2.939	326.918	0.183
1607433407.98338	231.202	0.034	2.915	327.079	0.181
1607433408.01638	231.210	0.034	2.912	326.918	0.182
1607433408.01737	231.169	0.034	2.890	327.079	0.183
1607433408.04838	231.197	0.035	2.855	326.999	0.182
1607433408.08137	231.197	0.035	2.830	327.079	0.185
1607433408.08237	231.192	0.034	2.817	326.918	0.183
1607433408.11337	231.158	0.035	2.845	327.079	0.185
1607433408.11437	231.114	0.034	2.811	326.757	0.180
1607433408.14537	231.129	0.034	2.885	326.757	0.176
1607433408.17737	231.131	0.034	2.866	326.918	0.183
1607433408.17837	231.099	0.035	2.890	326.757	0.183
1607433408.20937	231.067	0.034	2.794	326.838	0.181
1607433408.24237	231.070	0.034	2.878	326.838	0.181
1607433408.24336	231.107	0.035	2.929	326.918	0.189
1607433408.27437	231.114	0.035	2.919	326.918	0.185
1607433408.30636	231.109	0.034	2.852	326.918	0.186
1607433408.30736	231.151	0.035	2.884	326.918	0.183
1607433408.33836	231.103	0.034	2.766	326.757	0.181
1607433408.33937	231.144	0.035	2.867	326.838	0.187
1607433408.37336	231.108	0.034	2.785	326.918	0.183
1607433408.40637	231.080	0.035	2.860	326.838	0.185
1607433408.40736	231.112	0.034	2.930	326.838	0.181
1607433408.43837	231.061	0.034	2.881	326.757	0.182
1607433408.43935	231.133	0.035	2.942	326.838	0.186
1607433408.47137	231.082	0.034	2.872	326.838	0.182
1607433408.47235	231.050	0.035	2.895	326.838	0.181
1607433408.52836	231.026	0.034	2.907	326.677	0.179
1607433408.52937	231.009	0.034	2.881	326.677	0.180
1607433408.56237	231.015	0.034	2.899	326.757	0.179
1607433408.56335	231.040	0.035	2.950	326.757	0.186
1607433408.59436	231.060	0.034	2.914	326.757	0.185
1607433408.59535	231.036	0.034	2.900	326.838	0.180
1607433408.62736	231.017	0.035	2.927	326.757	0.181
1607433408.63335	231.021	0.035	2.819	326.757	0.181
1607433408.66436	231.006	0.034	2.871	326.677	0.183
1607433408.69635	231.063	0.035	2.942	326.757	0.182
1607433408.69834	231.044	0.034	2.880	326.838	0.183
1607433408.72936	231.103	0.035	2.937	326.918	0.185
1607433408.73034	231.185	0.035	2.938	326.999	0.185
1607433408.76334	231.167	0.034	2.860	326.999	0.182
1607433408.79435	231.101	0.034	2.809	326.918	0.186
1607433408.79534	231.108	0.035	2.921	326.999	0.181
1607433408.82735	231.136	0.035	2.914	326.999	0.180
1607433408.85835	231.188	0.035	2.933	326.999	0.186
1607433408.86034	231.184	0.035	2.923	327.079	0.185
1607433408.89333	231.164	0.034	2.845	326.999	0.181
1607433408.89433	231.158	0.035	2.901	326.918	0.181
1607433408.92733	231.128	0.034	2.769	326.999	0.178
1607433408.93333	231.188	0.035	2.965	326.918	0.186
1607433408.98934	231.158	0.034	2.922	326.999	0.181
1607433408.99232	231.205	0.035	2.946	327.159	0.182
1607433408.99332	231.180	0.034	2.898	327.079	0.182
1607433409.02532	231.069	0.034	2.884	327.079	0.181
1607433409.05732	231.146	0.035	2.924	326.918	0.183
1607433409.05932	231.129	0.034	2.918	326.918	0.181
1607433409.09231	231.097	0.034	2.893	326.918	0.182
1607433409.09332	231.123	0.035	2.880	326.838	0.185
1607433409.12433	231.124	0.035	2.921	326.999	0.181
1607433409.15732	231.147	0.035	2.948	327.079	0.180
1607433409.15831	231.156	0.034	2.878	326.918	0.179
1607433409.18932	231.191	0.035	2.902	326.999	0.181
1607433409.22232	231.216	0.035	2.938	326.999	0.185
1607433409.22331	231.150	0.034	2.831	326.918	0.182
1607433409.25432	231.193	0.034	2.871	326.999	0.186
1607433409.28631	231.178	0.034	2.855	326.918	0.182
1607433409.28731	231.172	0.035	2.869	327.079	0.181
1607433409.32030	231.173	0.035	2.803	327.079	0.181
1607433409.32130	231.120	0.034	2.793	326.999	0.181
1607433409.35431	231.181	0.035	2.828	326.999	0.183
1607433409.38732	231.165	0.035	2.794	326.999	0.180
1607433409.38831	231.130	0.035	2.845	326.918	0.181
1607433409.42132	231.155	0.035	2.814	327.079	0.186
1607433409.42230	231.150	0.034	2.792	326.918	0.183
1607433409.45332	231.204	0.035	2.855	326.838	0.185
1607433409.48632	231.180	0.034	2.850	326.999	0.183
1607433409.48730	231.167	0.035	2.881	326.918	0.182
1607433409.52330	231.109	0.034	2.893	326.757	0.186
1607433409.52630	231.123	0.034	2.901	326.918	0.181
1607433409.55731	231.161	0.035	2.931	326.999	0.181
1607433409.55929	231.175	0.035	2.908	326.838	0.186
1607433409.59131	231.204	0.034	2.884	326.918	0.183
1607433409.59229	231.195	0.035	2.888	326.918	0.183
1607433409.62429	231.111	0.034	2.797	326.999	0.180
1607433409.65530	231.093	0.035	2.837	326.999	0.185
1607433409.68730	231.110	0.034	2.805	326.918	0.180
1607433409.68829	231.089	0.035	2.843	326.918	0.181
1607433409.71929	231.101	0.034	2.836	326.838	0.178
1607433409.72230	231.018	0.035	2.912	326.757	0.178
1607433409.75729	231.032	0.035	2.923	326.757	0.186
1607433409.75829	231.041	0.034	2.826	326.918	0.180
1607433409.78928	231.054	0.035	2.877	326.757	0.188
1607433409.79228	231.060	0.034	2.836	326.838	0.181
1607433409.82428	231.017	0.034	2.849	326.838	0.183
1607433409.85728	231.049	0.035	2.961	326.757	0.182
1607433409.85828	231.022	0.034	2.873	326.677	0.182
1607433409.88928	231.002	0.034	2.925	326.677	0.176
1607433409.89227	231.000	0.036	3.070	326.596	0.193
1607433409.92327	231.018	0.040	3.386	326.757	0.204
1607433409.95428	231.064	0.040	3.416	326.757	0.205
1607433409.95527	231.049	0.039	3.355	326.757	0.195
1607433409.98827	231.032	0.039	3.268	326.677	0.199
1607433410.02128	231.033	0.044	3.886	326.757	0.222
1607433410.02227	230.984	0.043	3.738	326.596	0.213
1607433410.05427	231.024	0.042	3.683	326.677	0.215
1607433410.05626	231.020	0.044	3.879	326.757	0.218
1607433410.08727	231.033	0.046	4.149	326.757	0.235
1607433410.11926	231.039	0.052	4.708	326.838	0.250
1607433410.12126	231.042	0.052	4.725	326.757	0.245
1607433410.15327	231.081	0.052	4.845	326.757	0.250
1607433410.19128	231.088	0.052	4.788	326.838	0.249
1607433410.19227	231.094	0.046	4.037	326.838	0.226
1607433410.21927	231.075	0.042	3.735	326.757	0.215
1607433410.22026	231.044	0.042	3.725	326.757	0.213
1607433410.23327	231.107	0.041	3.620	326.999	0.216
1607433410.26626	231.097	0.040	3.463	326.838	0.205
1607433410.29727	231.110	0.045	3.953	326.838	0.228
1607433410.29926	231.137	0.044	3.951	326.757	0.223
1607433410.33226	231.082	0.047	4.316	326.757	0.228
1607433410.33326	231.110	0.046	4.148	326.757	0.228
1607433410.36626	231.078	0.046	4.149	326.757	0.228
1607433410.39726	231.077	0.042	3.720	326.918	0.213
1607433410.39825	231.076	0.037	3.166	326.757	0.195
1607433410.43125	231.069	0.035	2.908	326.838	0.189
1607433410.46226	231.146	0.035	2.912	326.918	0.185
1607433410.46325	231.180	0.040	3.426	326.918	0.210
1607433410.49526	231.192	0.041	3.500	326.999	0.206
1607433410.49624	231.192	0.040	3.510	327.240	0.206
1607433410.52824	231.141	0.049	4.438	326.999	0.231
1607433410.52924	231.210	0.041	3.608	326.999	0.211
1607433410.56125	231.179	0.041	3.551	326.999	0.212
1607433410.59226	231.100	0.042	3.676	326.999	0.209
1607433410.59325	231.070	0.037	3.103	326.999	0.191
1607433410.62824	231.061	0.036	2.990	326.918	0.203
1607433410.66124	231.088	0.040	3.491	326.838	0.203
1607433410.66223	231.075	0.036	3.096	326.918	0.193
1607433410.69324	231.110	0.037	3.188	326.999	0.201
1607433410.69424	231.059	0.047	4.276	326.838	0.230
1607433410.72623	231.044	0.045	4.008	326.918	0.225
1607433410.76323	231.040	0.040	3.431	326.757	0.205
1607433410.76423	231.039	0.041	3.626	326.757	0.207
1607433410.79722	231.018	0.035	2.991	326.838	0.185
1607433410.82924	231.069	0.035	2.943	326.918	0.181
1607433410.83023	231.139	0.035	2.926	326.918	0.189
1607433410.86223	231.132	0.034	2.921	326.918	0.181
1607433410.86322	231.129	0.035	2.913	326.999	0.186
1607433410.89423	231.084	0.039	3.257	326.838	0.206
1607433410.92722	231.093	0.041	3.574	326.838	0.204
1607433410.92822	231.105	0.043	3.828	326.838	0.211
1607433410.96122	231.066	0.037	3.154	326.838	0.200
1607433410.99322	231.056	0.034	2.792	326.999	0.188
1607433410.99422	231.099	0.035	2.864	326.918	0.186
1607433411.02723	231.093	0.035	2.918	326.757	0.185
1607433411.02821	231.092	0.035	2.797	326.838	0.182
1607433411.03422	231.102	0.035	3.007	326.918	0.182
1607433411.06722	231.086	0.035	2.922	326.838	0.183
1607433411.09823	231.070	0.039	3.277	326.838	0.211
1607433411.10221	231.073	0.038	3.310	326.757	0.199
1607433411.13521	231.061	0.037	3.139	326.838	0.197
1607433411.13621	231.068	0.037	3.152	326.838	0.195
1607433411.16821	231.073	0.037	3.174	326.918	0.193
1607433411.17321	231.044	0.038	3.259	326.918	0.201
1607433411.20422	231.018	0.036	3.055	326.757	0.193
1607433411.23821	231.015	0.035	2.964	326.918	0.187
1607433411.27122	231.043	0.035	2.933	326.918	0.185
1607433411.30322	231.037	0.035	2.909	326.838	0.185
1607433411.30520	231.008	0.034	2.895	326.838	0.182
1607433411.30620	231.009	0.036	3.032	326.757	0.193
1607433411.34120	230.978	0.038	3.287	326.757	0.198
1607433411.34220	230.953	0.038	3.233	326.677	0.198
1607433411.37322	230.974	0.030	2.324	326.757	0.189
1607433411.40621	230.964	0.012	0.874	326.838	0.079
1607433411.40721	230.953	0.011	0.803	326.918	0.072
1607433411.44520	230.939	0.011	0.764	326.838	0.064
1607433411.47719	230.980	0.011	0.716	326.918	0.070
1607433411.51019	230.957	0.011	0.760	326.757	0.068
1607433411.51119	230.946	0.012	0.816	326.757	0.071
1607433411.51219	230.923	0.011	0.758	326.757	0.070
1607433411.54419	230.893	0.011	0.802	326.757	0.072
1607433411.57620	230.941	0.012	0.808	326.838	0.068
1607433411.60819	230.960	0.012	0.829	326.838	0.070
1607433411.61118	230.968	0.011	0.771	326.999	0.066
1607433411.61218	230.980	0.012	0.826	326.999	0.070
1607433411.64618	230.974	0.011	0.812	326.999	0.072
1607433411.67719	230.988	0.011	0.782	326.838	0.068
1607433411.67818	230.991	0.011	0.794	326.757	0.069
1607433411.71618	231.004	0.013	0.888	326.838	0.076
1607433411.74719	230.977	0.012	0.897	326.838	0.073
1607433411.74818	230.942	0.012	0.867	326.757	0.075
1607433411.78118	230.981	0.012	0.823	326.838	0.072
1607433411.78218	230.974	0.012	0.911	326.757	0.074
1607433411.81617	230.960	0.012	0.853	326.838	0.069
1607433411.81717	230.961	0.011	0.771	326.918	0.063
1607433411.84918	230.931	0.012	0.826	326.757	0.071
1607433411.88219	230.904	0.013	0.911	326.596	0.074
1607433411.88417	230.912	0.013	0.957	326.757	0.082
1607433411.91717	230.986	0.013	0.954	326.757	0.074
1607433411.92417	231.037	0.013	0.944	326.838	0.080
1607433411.95618	230.985	0.013	0.888	326.677	0.075
1607433411.99218	231.050	0.013	0.962	326.838	0.074
1607433411.99317	231.018	0.013	0.917	326.757	0.081
1607433411.99417	231.024	0.013	0.934	326.918	0.074
1607433412.02716	231.031	0.013	0.924	326.838	0.083
1607433412.05916	231.023	0.013	0.946	326.757	0.076
1607433412.09218	231.041	0.013	0.939	326.838	0.076
1607433412.09316	231.045	0.013	0.941	326.757	0.078
1607433412.12517	231.016	0.013	0.906	326.918	0.073
1607433412.13216	230.991	0.013	0.973	326.918	0.081
1607433412.16317	230.973	0.013	0.881	326.838	0.075
1607433412.16416	231.007	0.013	0.921	326.838	0.078
1607433412.19617	230.991	0.013	0.959	326.838	0.079
1607433412.19717	231.014	0.013	0.963	326.918	0.079
1607433412.23316	230.995	0.013	0.908	326.838	0.075
1607433412.26616	230.971	0.013	0.906	326.757	0.078
1607433412.26715	230.989	0.013	0.944	326.918	0.079
1607433412.30315	230.988	0.013	0.904	326.918	0.075
1607433412.30415	230.988	0.013	0.918	326.918	0.075
1607433412.33615	230.989	0.013	0.929	326.918	0.080
1607433412.34315	230.972	0.013	0.935	326.838	0.076
1607433412.37416	231.022	0.012	0.843	326.838	0.070
1607433412.40814	231.012	0.011	0.803	326.918	0.069
1607433412.41114	231.010	0.011	0.782	326.918	0.068
1607433412.44215	230.986	0.011	0.754	326.838	0.063
1607433412.44414	230.994	0.011	0.788	326.918	0.063
1607433412.47614	231.016	0.013	0.903	326.838	0.084
1607433412.47714	231.034	0.012	0.855	326.838	0.070
1607433412.51014	231.066	0.013	0.900	326.838	0.083
1607433412.51114	231.046	0.014	0.987	327.079	0.081
1607433412.57314	231.024	0.013	0.985	326.757	0.083
1607433412.57613	231.081	0.014	0.993	326.999	0.078
1607433412.60813	231.138	0.013	0.963	327.159	0.076
1607433412.61414	231.134	0.014	1.015	327.079	0.081
1607433412.64615	231.140	0.014	0.986	327.079	0.082
1607433412.67813	231.098	0.013	0.939	326.999	0.075
1607433412.68113	231.050	0.014	0.962	326.999	0.083
1607433412.71313	231.105	0.013	0.945	326.999	0.083
1607433412.74613	231.122	0.014	0.966	326.838	0.081
1607433412.74713	231.106	0.014	0.985	326.999	0.076
1607433412.78613	231.147	0.014	0.969	326.918	0.083
1607433412.78713	231.190	0.013	0.904	327.079	0.076
1607433412.81814	231.214	0.012	0.801	327.079	0.070
1607433412.82112	231.184	0.013	0.911	326.999	0.078
1607433412.85312	231.233	0.012	0.878	327.159	0.071
1607433412.88614	231.226	0.011	0.805	327.079	0.070
1607433412.88712	231.244	0.012	0.843	327.079	0.067
1607433412.91813	231.176	0.012	0.847	326.999	0.075
1607433412.92112	231.179	0.012	0.806	327.079	0.069
1607433412.95313	231.224	0.012	0.833	327.079	0.074
1607433412.95412	231.245	0.011	0.818	327.079	0.066
1607433412.98812	231.238	0.012	0.845	326.999	0.068
1607433413.02612	231.257	0.013	0.940	327.159	0.079
1607433413.02811	231.233	0.019	1.434	327.079	0.106
1607433413.06012	231.221	0.019	1.435	327.079	0.106
1607433413.06111	231.224	0.014	0.991	327.159	0.082
1607433413.09510	231.242	0.015	1.047	327.079	0.088
1607433413.09610	231.222	0.016	1.215	327.159	0.094
1607433413.12712	231.262	0.016	1.167	327.159	0.088
1607433413.16511	231.229	0.016	1.186	327.079	0.093
1607433413.16610	231.257	0.016	1.178	327.240	0.095
1607433413.19711	231.290	0.016	1.207	327.159	0.094
1607433413.19810	231.273	0.016	1.189	327.159	0.092
1607433413.23010	231.344	0.016	1.200	327.240	0.094
1607433413.26210	231.354	0.016	1.141	327.159	0.092
1607433413.26310	231.404	0.016	1.182	327.240	0.094
1607433413.29410	231.391	0.016	1.205	327.481	0.091
1607433413.32710	231.383	0.016	1.168	327.240	0.093
1607433413.32809	231.375	0.016	1.221	327.401	0.091
1607433413.36210	231.343	0.016	1.188	327.240	0.095
1607433413.36309	231.320	0.015	1.153	327.320	0.086
1607433413.41910	231.287	0.015	1.162	327.320	0.094
1607433413.42210	231.275	0.015	1.119	326.999	0.087
1607433413.42309	231.272	0.016	1.177	327.079	0.090
1607433413.45710	231.269	0.016	1.184	327.079	0.092
1607433413.49010	231.315	0.016	1.189	327.159	0.093
1607433413.49109	231.300	0.016	1.197	327.240	0.092
1607433413.52309	231.311	0.016	1.157	327.159	0.093
1607433413.52409	231.275	0.016	1.193	327.320	0.093
1607433413.55610	231.232	0.016	1.149	327.079	0.094
1607433413.58809	231.245	0.016	1.167	327.079	0.091
1607433413.58908	231.249	0.015	1.106	327.159	0.084
1607433413.62109	231.194	0.014	0.983	326.999	0.080
1607433413.62208	231.201	0.014	1.050	327.079	0.084
1607433413.65309	231.226	0.014	1.043	327.320	0.082
1607433413.68610	231.225	0.014	1.030	327.240	0.076
1607433413.68708	231.202	0.014	1.045	327.159	0.087
1607433413.71809	231.163	0.014	1.032	327.159	0.081
1607433413.75109	231.104	0.014	0.969	326.999	0.081
1607433413.75207	231.135	0.014	1.003	327.159	0.081
1607433413.75307	231.114	0.014	1.011	327.159	0.087
1607433413.78408	231.146	0.014	0.994	327.079	0.075
1607433413.81608	231.162	0.014	1.031	327.079	0.081
1607433413.84808	231.180	0.014	1.049	327.240	0.087
1607433413.85007	231.204	0.014	1.051	327.159	0.082
1607433413.85107	231.213	0.014	1.033	327.240	0.084
1607433413.88907	231.217	0.014	1.048	327.079	0.082
1607433413.92107	231.204	0.014	1.026	327.159	0.086
1607433413.95207	231.216	0.014	1.060	327.159	0.085
1607433413.95306	231.149	0.014	0.998	327.240	0.076
1607433413.98506	231.210	0.014	1.030	327.079	0.082
1607433413.98706	231.236	0.014	1.031	327.159	0.083
1607433414.01806	231.281	0.015	1.050	327.159	0.081
1607433414.01906	231.233	0.014	1.005	327.159	0.086
1607433414.05206	231.211	0.014	1.013	327.240	0.081
1607433414.05305	231.265	0.014	1.073	327.240	0.083
1607433414.08405	231.282	0.014	1.040	327.240	0.083
1607433414.11606	231.235	0.014	1.005	327.240	0.082
1607433414.11705	231.189	0.014	0.966	327.240	0.079
1607433414.14993	231.153	0.014	1.043	327.240	0.085
