Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 13.76ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 26.79ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 37.13ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 32.64ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 33.67ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 22.66ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 18.69ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 39.39ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 12.91ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 25.74ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 25.66ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 19.60ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 29.70ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 30.50ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 17.76ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 25.61ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 17.66ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 28.42ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 10.86ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 18.64ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 28.62ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 18.58ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 44.99ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 29.60ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 23.66ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 31.63ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 17.68ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 34.64ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 15.69ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 22.60ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 25.64ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 23.81ms
32 sent, 32 received, 0% loss
