Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 18.55ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 36.96ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 47.66ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 28.45ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 17.02ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 16.71ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 19.63ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 18.62ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 23.90ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 21.64ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 34.85ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 18.43ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 23.63ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 19.64ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 26.61ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 19.89ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 34.89ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 11.94ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 25.86ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 25.62ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 17.65ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 45.62ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 34.84ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.88ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 24.59ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 19.41ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 20.86ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 34.63ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 23.63ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 25.64ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 17.63ms
32 sent, 32 received, 0% loss
