# timestamp	V	A	W	V	A
1618954937.43421	1140.008	0.108	57.511	319.111	0.088
1618954937.43500	232.645	0.022	2.336	318.789	0.087
1618954937.43806	232.645	0.022	2.396	318.870	0.087
1618954937.48043	232.708	0.022	2.393	318.950	0.086
1618954937.48607	232.666	0.022	2.386	318.789	0.086
1618954937.52544	232.695	0.022	2.442	319.031	0.087
1618954937.52607	232.780	0.022	2.379	318.950	0.088
1618954937.56444	232.807	0.022	2.378	319.111	0.088
1618954937.56506	232.767	0.022	2.400	318.870	0.088
1618954937.60344	232.770	0.022	2.405	319.031	0.088
1618954937.60529	232.790	0.022	2.395	318.950	0.086
1618954937.64347	232.833	0.022	2.405	319.031	0.087
1618954937.64507	232.803	0.022	2.392	319.031	0.087
1618954937.68344	232.848	0.022	2.386	319.031	0.085
1618954937.68409	232.781	0.022	2.349	319.031	0.086
1618954937.72346	232.830	0.022	2.397	319.031	0.087
1618954937.72409	232.802	0.022	2.382	319.031	0.085
1618954937.76246	232.831	0.022	2.393	319.192	0.084
1618954937.76409	232.755	0.022	2.340	318.950	0.086
1618954937.80243	232.834	0.022	2.415	319.192	0.088
1618954937.80408	232.831	0.022	2.362	319.031	0.086
1618954937.84122	232.851	0.022	2.403	319.031	0.088
1618954937.85649	232.734	0.022	2.334	319.111	0.087
1618954937.86512	232.750	0.022	2.374	318.950	0.085
1618954937.90351	232.764	0.022	2.412	319.031	0.087
1618954937.90502	232.802	0.022	2.386	319.111	0.086
1618954937.92122	232.803	0.022	2.369	319.031	0.086
1618954937.96544	232.771	0.022	2.411	319.111	0.087
1618954937.97445	232.698	0.022	2.382	319.031	0.087
1618954938.01121	232.794	0.022	2.420	319.031	0.085
1618954938.01303	232.788	0.022	2.419	319.111	0.084
1618954938.02545	232.725	0.022	2.379	319.031	0.085
1618954938.06321	232.692	0.022	2.369	318.950	0.084
1618954938.06399	232.676	0.022	2.389	319.031	0.085
1618954938.10147	232.613	0.023	2.496	318.870	0.090
1618954938.11007	232.626	0.025	2.759	319.031	0.094
1618954938.12000	232.629	0.022	2.442	318.789	0.091
1618954938.15846	232.658	0.022	2.386	318.870	0.086
1618954938.15909	232.699	0.022	2.419	318.870	0.087
1618954938.19648	232.689	0.022	2.414	318.870	0.086
1618954938.20309	232.724	0.022	2.401	318.950	0.085
1618954938.24215	232.784	0.022	2.426	318.950	0.090
1618954938.24404	232.828	0.023	2.433	319.111	0.087
1618954938.28125	232.795	0.022	2.370	319.031	0.086
1618954938.28413	232.713	0.022	2.397	318.950	0.087
1618954938.32131	232.750	0.022	2.377	318.870	0.088
1618954938.32911	232.693	0.022	2.392	318.950	0.085
1618954938.33947	232.752	0.022	2.430	319.031	0.086
1618954938.37648	232.714	0.022	2.397	318.950	0.085
1618954938.38914	232.774	0.022	2.415	319.111	0.090
1618954938.42654	232.786	0.022	2.386	319.031	0.086
1618954938.42946	232.780	0.022	2.366	319.031	0.088
1618954938.46949	232.698	0.022	2.385	318.950	0.087
1618954938.47011	232.837	0.022	2.450	319.031	0.090
1618954938.48008	232.777	0.022	2.386	319.111	0.087
1618954938.51849	232.852	0.022	2.384	319.031	0.088
1618954938.51911	232.787	0.022	2.392	318.789	0.086
1618954938.55649	232.779	0.022	2.391	319.031	0.086
1618954938.56649	232.780	0.022	2.403	318.950	0.088
1618954938.60455	232.776	0.022	2.398	318.950	0.085
1618954938.60504	232.716	0.022	2.364	318.950	0.086
1618954938.64351	232.728	0.022	2.396	319.031	0.085
1618954938.65947	232.866	0.022	2.385	319.031	0.087
1618954938.69648	232.766	0.022	2.394	318.950	0.088
1618954938.70826	232.845	0.022	2.409	318.950	0.086
1618954938.72046	232.776	0.022	2.382	318.950	0.086
1618954938.75848	232.828	0.022	2.411	319.031	0.087
1618954938.78047	232.882	0.022	2.397	318.950	0.086
1618954938.81850	232.815	0.022	2.387	318.950	0.086
1618954938.82014	232.830	0.022	2.416	318.950	0.090
1618954938.85826	232.882	0.022	2.392	319.031	0.087
1618954938.90349	232.923	0.022	2.416	319.192	0.091
1618954938.91334	232.901	0.022	2.381	319.192	0.087
1618954938.92550	232.825	0.022	2.365	319.031	0.086
1618954938.96349	232.897	0.022	2.392	319.031	0.086
1618954939.00349	232.879	0.022	2.406	319.111	0.090
1618954939.00413	232.842	0.022	2.426	319.111	0.087
1618954939.04350	232.830	0.022	2.417	319.192	0.091
1618954939.04414	232.834	0.022	2.379	319.111	0.087
1618954939.08247	232.878	0.022	2.382	319.192	0.090
1618954939.09052	232.832	0.022	2.418	319.111	0.090
1618954939.09999	232.860	0.022	2.361	319.031	0.087
1618954939.13852	232.815	0.025	2.790	318.950	0.097
1618954939.13914	232.720	0.023	2.509	318.950	0.094
1618954939.17649	232.722	0.022	2.315	318.870	0.087
1618954939.23153	232.783	0.022	2.394	319.031	0.087
1618954939.23315	232.722	0.022	2.363	318.950	0.087
1618954939.23512	232.818	0.022	2.426	319.031	0.088
1618954939.25948	232.799	0.022	2.404	318.950	0.085
1618954939.26648	232.842	0.022	2.397	319.111	0.086
1618954939.31627	232.725	0.022	2.365	318.950	0.088
1618954939.31816	232.707	0.022	2.338	319.031	0.084
1618954939.31907	232.780	0.022	2.373	319.111	0.087
1618954939.35753	232.879	0.022	2.371	319.192	0.090
1618954939.36625	232.879	0.022	2.354	319.111	0.087
1618954939.38849	232.897	0.022	2.350	319.111	0.085
1618954939.39950	232.892	0.022	2.346	319.192	0.088
1618954939.43852	232.887	0.022	2.342	319.111	0.087
1618954939.44909	232.830	0.022	2.341	319.111	0.087
1618954939.46308	232.747	0.022	2.331	318.950	0.085
1618954939.50052	232.811	0.022	2.387	319.111	0.084
1618954939.50115	232.811	0.022	2.352	319.031	0.085
1618954939.52026	232.754	0.022	2.401	318.950	0.087
1618954939.55850	232.758	0.022	2.343	318.950	0.086
1618954939.56016	232.807	0.022	2.388	319.031	0.086
1618954939.57952	232.845	0.022	2.398	318.950	0.087
1618954939.62529	232.837	0.022	2.399	319.031	0.086
1618954939.66330	232.840	0.022	2.386	319.272	0.086
1618954939.66408	232.847	0.022	2.386	319.192	0.087
1618954939.70152	232.819	0.022	2.386	319.192	0.087
1618954939.71216	232.818	0.022	2.371	319.031	0.085
1618954939.75054	232.831	0.022	2.371	319.031	0.086
1618954939.75115	232.839	0.022	2.381	319.192	0.088
1618954939.76851	232.843	0.022	2.403	319.192	0.085
1618954939.80629	232.877	0.022	2.396	319.111	0.085
1618954939.80816	232.869	0.022	2.412	319.111	0.085
1618954939.83053	232.811	0.022	2.379	319.031	0.088
1618954939.88152	232.750	0.022	2.378	318.950	0.085
1618954939.88316	232.739	0.022	2.382	318.950	0.085
1618954939.89349	232.723	0.022	2.387	318.950	0.086
1618954939.90551	232.814	0.022	2.380	318.950	0.086
1618954939.94551	232.682	0.022	2.372	318.950	0.085
1618954939.98354	232.727	0.022	2.384	318.950	0.085
1618954939.98411	232.723	0.022	2.381	319.031	0.084
1618954940.00055	232.768	0.022	2.408	319.031	0.087
1618954940.03951	232.698	0.022	2.321	318.950	0.084
1618954940.04017	232.695	0.022	2.384	318.950	0.086
1618954940.07754	232.772	0.022	2.341	319.111	0.086
1618954940.07917	232.725	0.022	2.386	319.031	0.085
1618954940.11654	232.784	0.022	2.393	318.950	0.085
1618954940.11817	232.749	0.022	2.361	319.031	0.085
1618954940.15653	232.761	0.024	2.646	319.031	0.095
1618954940.19454	232.749	0.024	2.686	319.031	0.093
1618954940.19517	232.801	0.022	2.424	319.111	0.087
1618954940.20012	232.803	0.022	2.427	319.111	0.086
1618954940.23852	232.824	0.022	2.372	318.950	0.086
1618954940.23915	232.783	0.022	2.405	319.192	0.086
1618954940.27655	232.758	0.022	2.369	319.031	0.082
1618954940.28218	232.732	0.022	2.382	319.031	0.086
1618954940.32132	232.788	0.022	2.392	319.031	0.085
1618954940.32320	232.781	0.022	2.384	318.950	0.084
1618954940.36353	232.763	0.022	2.377	319.031	0.085
1618954940.36418	232.780	0.022	2.410	318.950	0.086
1618954940.40132	232.794	0.022	2.381	319.111	0.086
1618954940.41558	232.788	0.022	2.401	319.031	0.085
1618954940.42753	232.784	0.022	2.403	319.111	0.087
1618954940.43954	232.785	0.022	2.391	319.031	0.090
1618954940.47655	232.796	0.022	2.376	319.192	0.088
1618954940.47718	232.766	0.022	2.437	318.950	0.086
1618954940.51536	232.810	0.022	2.400	319.111	0.087
1618954940.52523	232.765	0.022	2.390	318.950	0.086
1618954940.56231	232.773	0.022	2.409	319.192	0.086
1618954940.60154	232.769	0.022	2.401	319.192	0.085
1618954940.60419	232.805	0.022	2.389	319.031	0.085
1618954940.60613	232.781	0.022	2.413	319.111	0.084
1618954940.61932	232.811	0.022	2.383	319.111	0.086
1618954940.65749	232.807	0.022	2.422	319.031	0.086
1618954940.66917	232.786	0.022	2.370	318.950	0.085
1618954940.67955	232.770	0.022	2.386	319.031	0.087
1618954940.71732	232.786	0.022	2.381	319.031	0.087
1618954940.74654	232.834	0.022	2.346	319.031	0.085
1618954940.74916	232.840	0.022	2.335	319.031	0.088
1618954940.82061	232.817	0.022	2.363	319.031	0.087
1618954940.82556	232.841	0.022	2.337	319.111	0.086
1618954940.83020	232.775	0.022	2.362	318.789	0.086
1618954940.84056	232.797	0.022	2.315	319.111	0.086
1618954940.87962	232.793	0.022	2.331	319.031	0.083
1618954940.88119	232.789	0.022	2.408	319.031	0.090
1618954940.89657	232.762	0.022	2.336	318.950	0.086
1618954940.93458	232.718	0.022	2.373	318.950	0.086
1618954940.93520	232.728	0.022	2.357	319.031	0.086
1618954940.97357	232.707	0.022	2.316	318.870	0.085
1618954940.97756	232.676	0.022	2.321	318.870	0.086
1618954940.98755	232.767	0.022	2.372	318.870	0.090
1618954940.99959	232.812	0.022	2.365	318.870	0.084
1618954941.03633	232.792	0.022	2.337	318.950	0.086
1618954941.07459	232.779	0.022	2.370	318.950	0.086
1618954941.07622	232.810	0.022	2.370	318.950	0.086
1618954941.08956	232.769	0.022	2.354	318.950	0.084
1618954941.11159	232.800	0.022	2.384	318.950	0.087
1618954941.11932	232.682	0.022	2.379	319.031	0.086
1618954941.15738	232.736	0.022	2.394	318.870	0.087
1618954941.16731	232.673	0.023	2.496	318.870	0.091
1618954941.18019	232.670	0.025	2.799	318.870	0.095
1618954941.22425	232.718	0.022	2.424	318.870	0.086
1618954941.22515	232.770	0.022	2.431	318.870	0.084
1618954941.23858	232.779	0.022	2.429	318.789	0.086
1618954941.27719	232.825	0.022	2.397	318.950	0.090
1618954941.27915	232.841	0.022	2.441	318.870	0.088
1618954941.33137	232.820	0.022	2.397	318.950	0.086
1618954941.33500	232.780	0.022	2.377	318.709	0.084
1618954941.34204	232.764	0.022	2.400	318.870	0.085
1618954941.38708	232.567	0.022	2.344	318.467	0.083
1618954941.39912	232.664	0.022	2.434	318.789	0.087
1618954941.40926	232.660	0.022	2.399	318.548	0.087
1618954941.45702	232.698	0.022	2.380	318.870	0.085
1618954941.45904	232.714	0.022	2.374	318.628	0.084
1618954941.46863	232.797	0.022	2.448	318.789	0.085
1618954941.48823	232.779	0.022	2.398	318.709	0.087
1618954941.52717	232.832	0.022	2.367	318.789	0.086
1618954941.53338	232.807	0.022	2.436	318.789	0.086
1618954941.54011	232.801	0.022	2.393	318.950	0.086
1618954941.58140	232.830	0.022	2.408	318.628	0.086
1618954941.60636	232.736	0.022	2.390	318.709	0.085
1618954941.61319	232.632	0.022	2.352	318.709	0.085
1618954941.65663	232.723	0.022	2.401	318.789	0.085
1618954941.65723	232.700	0.022	2.375	318.789	0.090
1618954941.65918	232.762	0.022	2.392	318.789	0.085
1618954941.70559	232.770	0.022	2.429	319.031	0.086
1618954941.70639	232.680	0.022	2.340	318.870	0.083
1618954941.72033	232.680	0.022	2.425	318.709	0.085
1618954941.75859	232.741	0.022	2.367	318.870	0.090
1618954941.76023	232.692	0.022	2.421	318.709	0.088
1618954941.78636	232.739	0.022	2.407	318.870	0.086
1618954941.79760	232.767	0.022	2.409	318.789	0.085
1618954941.83638	232.791	0.022	2.402	319.031	0.090
1618954941.84762	232.767	0.022	2.396	318.950	0.086
1618954941.85760	232.815	0.022	2.383	318.870	0.085
1618954941.89526	232.786	0.022	2.398	318.789	0.086
1618954941.90715	232.736	0.022	2.364	318.870	0.087
1618954941.93416	232.671	0.022	2.383	318.628	0.085
1618954941.98011	232.775	0.022	2.382	318.950	0.086
1618954941.98207	232.654	0.022	2.343	318.709	0.085
1618954941.98607	232.806	0.022	2.366	318.628	0.086
1618954942.00881	232.787	0.022	2.357	318.709	0.087
1618954942.02012	232.820	0.022	2.378	318.789	0.085
1618954942.05712	232.794	0.022	2.361	318.870	0.086
1618954942.05908	232.733	0.022	2.380	318.709	0.085
1618954942.07916	232.626	0.022	2.400	318.628	0.084
1618954942.13138	232.688	0.022	2.344	318.789	0.086
1618954942.13608	232.745	0.022	2.409	318.870	0.086
1618954942.13705	232.793	0.022	2.383	318.870	0.086
1618954942.17645	232.753	0.022	2.397	318.789	0.084
