Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 10.69ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 24.81ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 12.29ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 32.18ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 34.75ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 24.83ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 25.05ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 25.11ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 24.47ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 22.89ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 28.85ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 18.92ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 28.98ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 10.62ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 10.44ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 25.54ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 19.17ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 10.65ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 20.59ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 23.47ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 15.10ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 19.67ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 20.66ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 20.69ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 26.75ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 10.63ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 20.95ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 19.14ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 28.78ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 18.90ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 10.89ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 20.86ms
32 sent, 32 received, 0% loss
