# timestamp	V	A	W	V	A
1607610631.62910	1099.834	0.182	66.489	324.665	0.229
1607610631.64107	229.355	0.038	2.932	324.584	0.228
1607610631.67306	229.366	0.038	2.878	324.665	0.228
1607610631.70507	229.354	0.038	2.912	324.584	0.226
1607610631.70805	229.343	0.038	2.908	324.665	0.226
1607610631.70905	229.338	0.038	2.946	324.665	0.228
1607610631.74006	229.342	0.038	2.951	324.584	0.227
1607610631.77105	229.330	0.038	2.907	324.504	0.224
1607610631.77204	229.344	0.038	2.928	324.504	0.226
1607610631.80504	229.312	0.038	2.881	324.504	0.226
1607610631.83604	229.264	0.038	2.897	324.504	0.227
1607610631.83903	229.284	0.038	2.936	324.504	0.227
1607610631.87103	229.282	0.038	2.907	324.584	0.221
1607610631.87203	229.314	0.038	2.920	324.423	0.223
1607610631.90503	229.324	0.038	2.937	324.584	0.224
1607610631.91003	229.284	0.037	2.851	324.504	0.219
1607610631.94103	229.296	0.039	2.939	324.504	0.227
1607610631.97403	229.333	0.038	2.879	324.584	0.216
1607610631.97503	229.307	0.038	2.883	324.504	0.223
1607610632.00903	229.311	0.038	2.846	324.584	0.226
1607610632.04103	229.246	0.038	2.822	324.423	0.228
1607610632.04202	229.280	0.038	2.834	324.504	0.216
1607610632.07403	229.279	0.038	2.814	324.584	0.221
1607610632.07503	229.239	0.038	2.791	324.423	0.225
1607610632.10604	229.267	0.038	2.844	324.504	0.225
1607610632.14103	229.224	0.038	2.825	324.423	0.221
1607610632.14403	229.216	0.039	2.878	324.504	0.224
1607610632.17602	229.258	0.038	2.903	324.504	0.221
1607610632.17902	229.240	0.038	2.880	324.423	0.226
1607610632.21003	229.235	0.038	2.908	324.504	0.236
1607610632.24303	229.209	0.038	2.893	324.423	0.225
1607610632.24402	229.200	0.038	2.866	324.343	0.225
1607610632.27503	229.241	0.038	2.919	324.343	0.225
1607610632.30803	229.222	0.037	2.852	324.182	0.214
1607610632.31001	229.260	0.039	2.935	324.343	0.227
1607610632.34302	229.245	0.038	2.898	324.423	0.224
1607610632.34501	229.222	0.038	2.906	324.262	0.230
1607610632.37602	229.256	0.038	2.908	324.343	0.226
1607610632.37901	229.282	0.038	2.934	324.343	0.234
1607610632.41002	229.281	0.038	2.917	324.423	0.227
1607610632.44102	229.269	0.038	2.909	324.343	0.224
1607610632.44401	229.263	0.038	2.892	324.262	0.221
1607610632.47502	229.274	0.039	2.947	324.343	0.223
1607610632.47701	229.285	0.037	2.846	324.423	0.216
1607610632.51100	229.299	0.039	2.980	324.423	0.228
1607610632.51200	229.286	0.038	2.942	324.423	0.226
1607610632.54500	229.247	0.038	2.906	324.423	0.227
1607610632.55000	229.298	0.038	2.896	324.665	0.226
1607610632.58100	229.255	0.038	2.896	324.423	0.228
1607610632.61300	229.236	0.038	2.937	324.423	0.231
1607610632.61399	229.273	0.038	2.907	324.343	0.218
1607610632.64600	229.237	0.038	2.897	324.423	0.224
