# timestamp	V	A	W	V	A
1618995131.71344	1317.002	0.142	79.401	315.731	0.116
1618995131.71642	229.360	0.025	2.398	315.892	0.107
1618995131.71713	229.375	0.025	2.411	315.570	0.109
1618995131.74737	229.445	0.025	2.435	315.812	0.109
1618995131.76337	229.424	0.025	2.402	315.731	0.107
1618995131.77605	229.381	0.025	2.387	315.731	0.107
1618995131.81738	229.308	0.025	2.385	315.812	0.112
1618995131.81801	229.368	0.025	2.406	315.812	0.107
1618995131.82939	229.349	0.024	2.337	315.570	0.109
1618995131.86842	229.361	0.025	2.384	315.651	0.110
1618995131.86895	229.365	0.025	2.396	315.651	0.110
1618995131.90811	229.431	0.024	2.380	315.651	0.106
1618995131.91701	229.381	0.024	2.367	315.490	0.107
1618995131.95420	229.344	0.024	2.383	315.570	0.108
1618995131.95608	229.304	0.024	2.360	315.651	0.107
1618995131.99443	229.350	0.025	2.425	315.731	0.109
1618995131.99605	229.264	0.025	2.384	315.570	0.108
1618995132.03438	229.277	0.025	2.403	315.490	0.109
1618995132.03605	229.204	0.025	2.394	315.490	0.112
1618995132.05941	229.175	0.025	2.414	315.490	0.110
1618995132.06904	229.168	0.025	2.393	315.570	0.109
1618995132.10717	229.250	0.025	2.426	315.490	0.108
1618995132.11841	229.282	0.025	2.418	315.731	0.107
1618995132.12947	229.273	0.024	2.382	315.731	0.106
1618995132.17144	229.271	0.025	2.407	315.570	0.109
1618995132.17306	229.165	0.024	2.362	315.490	0.110
1618995132.21140	229.221	0.024	2.363	315.651	0.108
1618995132.22142	229.250	0.025	2.455	315.570	0.109
1618995132.24942	229.221	0.024	2.331	315.570	0.107
1618995132.25104	229.209	0.025	2.401	315.570	0.106
1618995132.28920	229.274	0.025	2.394	315.651	0.109
1618995132.29101	229.304	0.025	2.410	315.570	0.111
1618995132.32920	229.238	0.024	2.364	315.570	0.109
1618995132.33099	229.176	0.024	2.348	315.490	0.105
1618995132.36851	229.167	0.024	2.353	315.490	0.104
1618995132.41344	229.157	0.025	2.374	315.409	0.108
1618995132.41606	229.199	0.025	2.384	315.409	0.107
1618995132.43817	229.227	0.024	2.387	315.409	0.108
1618995132.47650	229.152	0.024	2.348	315.409	0.105
1618995132.47708	229.129	0.026	2.607	315.248	0.114
1618995132.49920	229.154	0.026	2.552	315.409	0.115
1618995132.50943	229.123	0.025	2.397	315.329	0.109
1618995132.54845	229.129	0.025	2.373	315.409	0.105
1618995132.54901	229.161	0.025	2.420	315.409	0.110
1618995132.58748	229.127	0.025	2.382	315.329	0.108
1618995132.61140	229.191	0.025	2.453	315.409	0.107
1618995132.64923	229.204	0.025	2.397	315.409	0.108
1618995132.65107	229.239	0.025	2.403	315.409	0.107
1618995132.68848	229.305	0.025	2.413	315.490	0.108
1618995132.72745	229.318	0.025	2.386	315.490	0.109
1618995132.72807	229.241	0.025	2.372	315.490	0.107
1618995132.73097	229.226	0.025	2.407	315.490	0.110
1618995132.76850	229.191	0.025	2.386	315.490	0.107
1618995132.77105	229.225	0.024	2.363	315.570	0.108
1618995132.80850	229.271	0.025	2.426	315.490	0.111
1618995132.81710	229.311	0.025	2.375	315.570	0.107
1618995132.85447	229.318	0.025	2.404	315.570	0.106
1618995132.85706	229.366	0.025	2.442	315.570	0.109
1618995132.89422	229.300	0.024	2.350	315.731	0.109
1618995132.89601	229.229	0.024	2.348	315.570	0.107
1618995132.90851	229.235	0.025	2.447	315.570	0.114
1618995132.94624	229.218	0.024	2.349	315.490	0.108
1618995132.94711	229.340	0.025	2.407	315.490	0.108
1618995132.98451	229.344	0.025	2.448	315.731	0.111
1618995132.99726	229.351	0.025	2.391	315.490	0.108
1618995133.00912	229.303	0.024	2.371	315.490	0.105
1618995133.04849	229.274	0.025	2.391	315.409	0.108
1618995133.04910	229.239	0.024	2.341	315.409	0.112
1618995133.08746	229.212	0.025	2.402	315.490	0.106
1618995133.08811	229.252	0.025	2.443	315.490	0.109
1618995133.12946	229.222	0.024	2.391	315.490	0.107
1618995133.13910	229.171	0.024	2.374	315.490	0.105
1618995133.14902	229.135	0.025	2.425	315.570	0.107
1618995133.18720	229.155	0.024	2.374	315.490	0.108
1618995133.18800	229.209	0.024	2.392	315.651	0.107
1618995133.22622	229.196	0.025	2.414	315.570	0.105
1618995133.24346	229.251	0.024	2.388	315.570	0.108
1618995133.25111	229.224	0.024	2.358	315.490	0.105
1618995133.28850	229.211	0.025	2.412	315.409	0.108
1618995133.33255	229.201	0.024	2.385	315.570	0.107
1618995133.33405	229.162	0.024	2.354	315.570	0.105
1618995133.33704	229.136	0.025	2.420	315.490	0.108
1618995133.34793	229.203	0.025	2.404	315.409	0.107
1618995133.38648	229.220	0.025	2.364	315.570	0.106
1618995133.40946	229.299	0.024	2.395	315.651	0.105
1618995133.44748	229.269	0.024	2.354	315.731	0.106
1618995133.45816	229.297	0.025	2.406	315.570	0.106
1618995133.46947	229.302	0.024	2.374	315.731	0.106
1618995133.50854	229.321	0.025	2.491	315.651	0.110
1618995133.52803	229.341	0.027	2.694	315.731	0.119
1618995133.52902	229.319	0.025	2.426	315.651	0.107
1618995133.57246	229.333	0.024	2.412	315.651	0.106
1618995133.57301	229.314	0.025	2.436	315.651	0.105
1618995133.61148	229.249	0.024	2.386	315.490	0.107
1618995133.63148	229.239	0.025	2.408	315.570	0.108
1618995133.67220	229.278	0.025	2.415	315.651	0.108
1618995133.67903	229.235	0.024	2.375	315.651	0.105
1618995133.71752	229.296	0.024	2.396	315.651	0.106
1618995133.71813	229.279	0.024	2.387	315.570	0.107
1618995133.75654	229.273	0.025	2.390	315.570	0.107
1618995133.75713	229.235	0.025	2.403	315.570	0.108
1618995133.80552	229.250	0.025	2.371	315.570	0.107
1618995133.80713	229.217	0.024	2.360	315.570	0.105
1618995133.81852	229.260	0.025	2.411	315.570	0.106
1618995133.82813	229.284	0.024	2.361	315.651	0.106
1618995133.86652	229.333	0.024	2.410	315.570	0.105
1618995133.88832	229.297	0.024	2.368	315.570	0.109
1618995133.92653	229.302	0.025	2.414	315.651	0.105
1618995133.94925	229.316	0.024	2.391	315.490	0.106
1618995133.99556	229.326	0.025	2.409	315.570	0.107
1618995134.03852	229.313	0.024	2.386	315.570	0.105
1618995134.03914	229.283	0.024	2.393	315.570	0.106
1618995134.04610	229.315	0.025	2.409	315.731	0.106
1618995134.08349	229.355	0.024	2.404	315.570	0.106
1618995134.12652	229.342	0.024	2.387	315.570	0.106
1618995134.12814	229.339	0.025	2.417	315.651	0.106
1618995134.13951	229.318	0.024	2.354	315.570	0.110
1618995134.14952	229.311	0.025	2.389	315.651	0.106
1618995134.18751	229.315	0.025	2.416	315.731	0.106
1618995134.19850	229.311	0.025	2.406	315.731	0.108
1618995134.20815	229.357	0.024	2.393	315.812	0.105
1618995134.24654	229.331	0.025	2.414	315.731	0.110
1618995134.26929	229.344	0.024	2.381	315.651	0.105
1618995134.31015	229.377	0.025	2.410	315.651	0.107
1618995134.35151	229.311	0.024	2.327	315.731	0.105
1618995134.35213	229.394	0.025	2.508	315.731	0.109
1618995134.38951	229.353	0.024	2.359	315.651	0.106
1618995134.39314	229.334	0.024	2.388	315.731	0.105
1618995134.43253	229.271	0.024	2.350	315.731	0.106
1618995134.43419	229.225	0.024	2.372	315.651	0.106
1618995134.46053	229.200	0.024	2.378	315.651	0.107
1618995134.52154	229.235	0.025	2.402	315.731	0.108
1618995134.52216	229.330	0.025	2.428	315.651	0.108
1618995134.52704	229.295	0.024	2.385	315.651	0.107
1618995134.53851	229.269	0.027	2.661	315.570	0.118
1618995134.55452	229.229	0.026	2.511	315.570	0.110
1618995134.58051	229.233	0.024	2.383	315.570	0.106
1618995134.62124	229.235	0.025	2.444	315.651	0.109
1618995134.62346	229.352	0.025	2.446	315.731	0.112
1618995134.63852	229.361	0.025	2.384	315.570	0.104
1618995134.67736	229.301	0.025	2.400	315.570	0.106
1618995134.67815	229.296	0.025	2.379	315.651	0.109
1618995134.71854	229.266	0.025	2.380	315.570	0.110
1618995134.72228	229.209	0.025	2.402	315.490	0.107
1618995134.76242	229.187	0.024	2.354	315.570	0.108
1618995134.76417	229.197	0.025	2.396	315.570	0.107
1618995134.76599	229.197	0.025	2.429	315.651	0.107
1618995134.80258	229.275	0.025	2.409	315.570	0.106
1618995134.81235	229.332	0.025	2.432	315.731	0.107
1618995134.85156	229.271	0.024	2.375	315.651	0.104
1618995134.85624	229.294	0.024	2.390	315.570	0.104
1618995134.90331	229.277	0.024	2.370	315.651	0.106
1618995134.90411	229.303	0.025	2.452	315.731	0.108
1618995134.92153	229.353	0.024	2.397	315.812	0.106
1618995134.93641	229.381	0.025	2.391	315.892	0.109
1618995134.96327	229.326	0.025	2.417	315.651	0.110
1618995135.00232	229.344	0.024	2.355	315.731	0.106
1618995135.00311	229.383	0.025	2.395	315.731	0.104
1618995135.04156	229.299	0.024	2.395	315.651	0.108
1618995135.04625	229.316	0.024	2.364	315.651	0.108
1618995135.04711	229.338	0.025	2.415	315.812	0.110
1618995135.08826	229.381	0.024	2.389	315.731	0.105
1618995135.10864	229.377	0.024	2.373	315.570	0.106
1618995135.12352	229.382	0.025	2.405	315.731	0.107
1618995135.13122	229.343	0.024	2.359	315.812	0.106
1618995135.17128	229.322	0.024	2.355	315.651	0.104
1618995135.17323	229.272	0.025	2.439	315.651	0.107
1618995135.21360	229.311	0.025	2.416	315.812	0.109
1618995135.21419	229.315	0.024	2.386	315.812	0.106
1618995135.25213	229.326	0.024	2.378	315.731	0.107
1618995135.27329	229.318	0.025	2.408	315.731	0.107
1618995135.27427	229.257	0.024	2.337	315.651	0.105
1618995135.31835	229.271	0.025	2.424	315.651	0.107
1618995135.32118	229.303	0.025	2.426	315.812	0.106
1618995135.32851	229.279	0.024	2.369	315.570	0.108
1618995135.35124	229.283	0.025	2.402	315.570	0.107
1618995135.39555	229.331	0.025	2.409	315.651	0.107
1618995135.39720	229.322	0.024	2.349	315.651	0.106
1618995135.40745	229.332	0.025	2.374	315.731	0.107
1618995135.44813	229.379	0.025	2.400	315.651	0.108
1618995135.48853	229.334	0.024	2.395	315.409	0.103
1618995135.48911	229.407	0.024	2.428	315.570	0.105
1618995135.52733	229.372	0.024	2.348	315.651	0.106
1618995135.56560	229.351	0.025	2.390	315.812	0.107
1618995135.56717	229.314	0.026	2.504	315.651	0.114
1618995135.57938	229.283	0.026	2.641	315.731	0.114
1618995135.61731	229.298	0.025	2.438	315.731	0.108
1618995135.61925	229.295	0.025	2.423	315.812	0.107
1618995135.65911	229.299	0.024	2.365	315.892	0.107
1618995135.66101	229.244	0.025	2.433	315.651	0.107
1618995135.66916	229.250	0.027	2.666	315.731	0.117
1618995135.71058	229.235	0.027	2.704	315.651	0.117
1618995135.71856	229.293	0.027	2.664	315.812	0.114
1618995135.73753	229.277	0.027	2.666	315.651	0.117
1618995135.77457	229.187	0.027	2.612	315.651	0.119
1618995135.77623	229.188	0.027	2.696	315.731	0.117
1618995135.78756	229.253	0.027	2.684	315.651	0.117
1618995135.82455	229.247	0.027	2.724	315.812	0.120
1618995135.82623	229.241	0.026	2.557	315.651	0.114
1618995135.86757	229.253	0.025	2.408	315.812	0.108
1618995135.87752	229.210	0.026	2.504	315.731	0.114
1618995135.91440	229.188	0.027	2.646	315.731	0.116
1618995135.91625	229.132	0.026	2.544	315.731	0.114
1618995135.95336	229.105	0.026	2.573	315.651	0.114
1618995135.99360	229.121	0.026	2.600	315.651	0.116
1618995135.99628	229.316	0.027	2.713	315.812	0.117
1618995136.00758	229.347	0.027	2.743	315.812	0.116
1618995136.04453	229.248	0.027	2.634	315.570	0.117
1618995136.05953	229.236	0.027	2.688	315.490	0.117
1618995136.07662	229.211	0.026	2.645	315.651	0.117
1618995136.08862	229.203	0.026	2.598	315.490	0.112
1618995136.12733	229.182	0.027	2.637	315.490	0.114
1618995136.12815	229.285	0.027	2.677	315.570	0.115
1618995136.16915	229.367	0.027	2.698	315.731	0.116
1618995136.17604	229.372	0.026	2.635	315.490	0.115
1618995136.19814	229.355	0.027	2.631	315.651	0.117
1618995136.24236	229.313	0.027	2.662	315.651	0.117
1618995136.25608	229.257	0.027	2.678	315.409	0.117
1618995136.29668	229.259	0.027	2.689	315.490	0.117
1618995136.29811	229.280	0.027	2.641	315.570	0.112
1618995136.30856	229.324	0.028	2.729	315.570	0.118
1618995136.34865	229.294	0.027	2.676	315.490	0.114
1618995136.34924	229.267	0.027	2.697	315.731	0.117
1618995136.37630	229.264	0.027	2.649	315.731	0.116
1618995136.38842	229.247	0.027	2.668	315.570	0.115
1618995136.43118	229.204	0.027	2.660	315.570	0.114
1618995136.43751	229.244	0.027	2.688	315.570	0.116
1618995136.44865	229.270	0.027	2.702	315.651	0.114
1618995136.48762	229.251	0.027	2.720	315.570	0.117
1618995136.49864	229.265	0.027	2.671	315.409	0.117
1618995136.51462	229.248	0.027	2.647	315.490	0.116
1618995136.55731	229.281	0.027	2.668	315.490	0.117
1618995136.55925	229.331	0.028	2.744	315.731	0.117
1618995136.56959	229.396	0.026	2.640	315.651	0.114
1618995136.61141	229.369	0.029	2.879	315.651	0.120
1618995136.61217	229.350	0.028	2.848	315.731	0.120
1618995136.62814	229.371	0.027	2.704	315.651	0.121
1618995136.67359	229.318	0.027	2.630	315.651	0.119
1618995136.69937	229.337	0.027	2.671	315.651	0.116
1618995136.71665	229.325	0.027	2.722	315.812	0.119
1618995136.72962	229.276	0.027	2.673	315.570	0.116
1618995136.75431	229.286	0.027	2.657	315.570	0.116
1618995136.79243	229.236	0.026	2.545	315.490	0.111
1618995136.79845	229.228	0.027	2.642	315.651	0.115
1618995136.81861	229.233	0.026	2.638	315.731	0.114
1618995136.83160	229.215	0.031	3.116	315.490	0.134
1618995136.87160	229.436	0.033	3.377	315.651	0.135
1618995136.87860	229.473	0.033	3.378	315.570	0.138
1618995136.88868	229.467	0.032	3.305	315.731	0.134
1618995136.92841	229.460	0.032	3.321	315.570	0.134
1618995136.93140	229.478	0.032	3.321	315.651	0.138
1618995136.97261	229.470	0.032	3.325	315.651	0.139
1618995136.97422	229.524	0.032	3.344	315.651	0.136
1618995136.98761	229.514	0.032	3.331	315.731	0.139
1618995137.03061	229.504	0.032	3.330	315.651	0.138
1618995137.04232	229.502	0.032	3.303	315.651	0.134
1618995137.07962	229.494	0.033	3.352	315.731	0.138
1618995137.08126	229.532	0.032	3.331	315.892	0.132
1618995137.08661	229.600	0.033	3.358	315.812	0.134
1618995137.12663	229.575	0.032	3.331	315.812	0.136
1618995137.14858	229.534	0.032	3.297	315.812	0.133
1618995137.18661	229.519	0.032	3.352	315.812	0.134
1618995137.18829	229.535	0.032	3.327	315.812	0.134
1618995137.20766	229.589	0.032	3.373	315.812	0.133
1618995137.24904	229.600	0.032	3.369	315.812	0.133
1618995137.25208	229.474	0.032	3.349	315.651	0.135
1618995137.28964	229.375	0.032	3.256	315.409	0.132
1618995137.29662	229.310	0.032	3.282	315.409	0.132
1618995137.33343	229.374	0.032	3.329	315.490	0.135
1618995137.33526	229.339	0.032	3.299	315.490	0.134
1618995137.34934	229.375	0.032	3.331	315.490	0.138
