Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 11.51ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 34.96ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 30.39ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 31.88ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 21.67ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 24.68ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 16.65ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 9.48ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 9.84ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 19.42ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 16.85ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 18.42ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 30.74ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 28.77ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 22.68ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 27.75ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 23.66ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 20.66ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 10.46ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 20.07ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 21.70ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 20.67ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 25.93ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 9.65ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 20.63ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 18.43ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 20.89ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 28.91ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 28.66ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 20.66ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 25.67ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 22.45ms
32 sent, 32 received, 0% loss
