Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 13.51ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 31.98ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 19.66ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 24.92ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 28.66ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 30.68ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 20.45ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 31.08ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 19.67ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 27.43ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 20.89ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 20.67ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 22.66ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 24.43ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 24.88ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 19.67ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 30.91ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 30.67ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 19.61ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 23.65ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 17.69ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 29.90ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 24.46ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 26.90ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 27.64ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 21.44ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 38.05ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 10.66ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 23.65ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 17.48ms
32 sent, 32 received, 0% loss
