# timestamp	V	A	W	V	A
1618953126.10189	1535.287	0.148	103.585	317.582	0.097
1618953126.12323	231.576	0.022	2.350	317.421	0.087
1618953126.16426	231.562	0.022	2.329	317.260	0.090
1618953126.16681	231.545	0.023	2.469	317.260	0.093
1618953126.16778	231.560	0.022	2.368	317.260	0.090
1618953126.20596	231.515	0.022	2.349	317.260	0.087
1618953126.21224	231.531	0.022	2.332	317.180	0.087
1618953126.24919	231.504	0.022	2.343	317.260	0.091
1618953126.25084	231.551	0.022	2.352	317.341	0.088
1618953126.28918	231.478	0.022	2.337	317.260	0.090
1618953126.29083	231.497	0.022	2.320	317.421	0.086
1618953126.32922	231.406	0.022	2.347	317.180	0.087
1618953126.33086	231.440	0.022	2.311	317.341	0.088
1618953126.36829	231.460	0.022	2.362	317.260	0.088
1618953126.37085	231.509	0.022	2.345	317.260	0.088
1618953126.40799	231.535	0.022	2.346	317.260	0.087
1618953126.40879	231.596	0.022	2.347	317.341	0.087
1618953126.44692	231.522	0.024	2.585	317.341	0.097
1618953126.45919	231.555	0.024	2.513	317.260	0.095
1618953126.50429	231.514	0.022	2.359	317.341	0.091
1618953126.50582	231.546	0.022	2.337	317.260	0.092
1618953126.54321	231.477	0.022	2.356	317.260	0.088
1618953126.54384	231.541	0.022	2.333	317.341	0.090
1618953126.55227	231.532	0.022	2.326	317.260	0.086
1618953126.59098	231.512	0.022	2.333	317.341	0.087
1618953126.60219	231.513	0.022	2.376	317.260	0.088
1618953126.61291	231.517	0.022	2.355	317.180	0.090
1618953126.65629	231.531	0.022	2.328	317.099	0.091
1618953126.66287	231.585	0.022	2.354	317.341	0.091
1618953126.67284	231.563	0.022	2.344	317.341	0.088
1618953126.71227	231.603	0.022	2.329	317.341	0.086
1618953126.71290	231.553	0.022	2.350	317.341	0.091
1618953126.75123	231.503	0.022	2.325	317.341	0.088
1618953126.76221	231.517	0.022	2.388	317.341	0.088
1618953126.77288	231.553	0.022	2.327	317.260	0.088
1618953126.81226	231.534	0.022	2.355	317.260	0.088
1618953126.82220	231.539	0.022	2.321	317.341	0.087
1618953126.83227	231.530	0.022	2.317	317.421	0.086
1618953126.87229	231.545	0.022	2.318	317.341	0.088
1618953126.87288	231.504	0.022	2.324	317.341	0.088
1618953126.91077	231.562	0.022	2.365	317.260	0.091
1618953126.95923	231.528	0.022	2.380	317.341	0.090
1618953126.96087	231.614	0.022	2.374	317.260	0.090
1618953126.99906	231.627	0.022	2.331	317.421	0.087
1618953127.00091	231.609	0.022	2.349	317.341	0.090
1618953127.02123	231.547	0.022	2.317	317.341	0.087
1618953127.05828	231.587	0.022	2.340	317.341	0.087
1618953127.05890	231.577	0.022	2.331	317.341	0.090
1618953127.08223	231.551	0.022	2.338	317.421	0.087
1618953127.09188	231.577	0.022	2.348	317.341	0.088
