# timestamp	V	A	W	V	A
1618954668.60193	1062.773	0.103	50.609	318.548	0.097
1618954668.62096	232.429	0.022	2.360	318.628	0.088
1618954668.63053	232.400	0.022	2.325	318.548	0.084
1618954668.67594	232.393	0.022	2.357	318.548	0.087
1618954668.71670	232.398	0.022	2.364	318.467	0.085
1618954668.71858	232.360	0.022	2.326	318.467	0.090
1618954668.73646	232.377	0.022	2.355	318.548	0.088
1618954668.77591	232.381	0.022	2.319	318.548	0.086
1618954668.78289	232.385	0.022	2.374	318.467	0.087
1618954668.79356	232.370	0.022	2.363	318.548	0.087
1618954668.83992	232.380	0.022	2.417	318.467	0.090
1618954668.84156	232.357	0.022	2.355	318.467	0.087
1618954668.85052	232.372	0.022	2.357	318.467	0.088
1618954668.89286	232.360	0.022	2.301	318.387	0.087
1618954668.91092	232.403	0.023	2.426	318.467	0.090
1618954668.92392	232.355	0.022	2.379	318.387	0.086
1618954668.93691	232.408	0.023	2.406	318.306	0.090
1618954668.97370	232.364	0.022	2.392	318.387	0.086
1618954668.99891	232.379	0.022	2.389	318.387	0.087
1618954669.00252	232.359	0.022	2.380	318.548	0.087
1618954669.01156	232.391	0.023	2.418	318.467	0.091
1618954669.05090	232.387	0.022	2.385	318.548	0.085
1618954669.05891	232.398	0.023	2.408	318.548	0.088
1618954669.07691	232.363	0.022	2.380	318.467	0.087
1618954669.12892	232.382	0.023	2.433	318.548	0.088
1618954669.13356	232.344	0.022	2.338	318.467	0.087
1618954669.14593	232.386	0.023	2.399	318.387	0.087
1618954669.18762	232.363	0.022	2.382	318.387	0.087
1618954669.20193	232.391	0.022	2.412	318.467	0.086
1618954669.20256	232.403	0.022	2.390	318.467	0.090
1618954669.24094	232.420	0.022	2.394	318.467	0.085
1618954669.24157	232.395	0.022	2.351	318.467	0.087
1618954669.25093	232.415	0.023	2.420	318.467	0.090
1618954669.28794	232.401	0.022	2.359	318.467	0.087
1618954669.34100	232.386	0.023	2.432	318.387	0.088
1618954669.34252	232.371	0.022	2.346	318.306	0.087
1618954669.34356	232.377	0.023	2.410	318.467	0.088
1618954669.35773	232.371	0.022	2.369	318.467	0.087
1618954669.40162	232.412	0.023	2.425	318.467	0.090
1618954669.40250	232.392	0.022	2.400	318.467	0.086
1618954669.41370	232.420	0.023	2.418	318.467	0.090
1618954669.45292	232.378	0.022	2.374	318.548	0.087
1618954669.46151	232.420	0.023	2.413	318.467	0.087
1618954669.47072	232.362	0.022	2.329	318.467	0.086
1618954669.51772	232.415	0.022	2.408	318.467	0.087
1618954669.52051	232.369	0.022	2.385	318.548	0.088
1618954669.53194	232.415	0.022	2.401	318.387	0.087
1618954669.57195	232.370	0.023	2.407	318.548	0.088
1618954669.58796	232.416	0.026	2.840	318.467	0.100
1618954669.59658	232.390	0.023	2.480	318.548	0.088
1618954669.63975	232.395	0.023	2.400	318.467	0.088
1618954669.64160	232.385	0.022	2.383	318.628	0.088
1618954669.68896	232.435	0.023	2.422	318.548	0.087
1618954669.69158	232.405	0.022	2.384	318.467	0.087
1618954669.69260	232.429	0.022	2.420	318.628	0.087
1618954669.73090	232.377	0.022	2.352	318.548	0.088
1618954669.73761	232.433	0.022	2.395	318.548	0.087
1618954669.75096	232.366	0.022	2.358	318.548	0.087
1618954669.79396	232.437	0.023	2.406	318.548	0.087
1618954669.79658	232.419	0.022	2.409	318.628	0.087
1618954669.83397	232.422	0.023	2.444	318.628	0.088
1618954669.87698	232.397	0.022	2.354	318.628	0.085
1618954669.87760	232.415	0.022	2.418	318.548	0.086
1618954669.88156	232.421	0.022	2.384	318.628	0.086
1618954669.92195	232.459	0.023	2.428	318.548	0.088
1618954669.92359	232.404	0.022	2.389	318.467	0.088
1618954669.93849	232.430	0.022	2.407	318.548	0.088
1618954669.95160	232.391	0.022	2.397	318.467	0.087
1618954669.99396	232.407	0.022	2.386	318.467	0.090
1618954670.00276	232.388	0.022	2.416	318.467	0.087
1618954670.00887	232.408	0.022	2.387	318.467	0.088
1618954670.04898	232.387	0.022	2.353	318.548	0.088
1618954670.06103	232.414	0.022	2.414	318.467	0.088
1618954670.07096	232.377	0.022	2.397	318.467	0.090
1618954670.10901	232.394	0.023	2.418	318.467	0.088
1618954670.11060	232.366	0.022	2.383	318.548	0.086
1618954670.15198	232.415	0.023	2.433	318.467	0.087
1618954670.17197	232.425	0.022	2.408	318.548	0.087
1618954670.21175	232.389	0.022	2.371	318.548	0.086
1618954670.21969	232.406	0.022	2.392	318.548	0.087
1618954670.23254	232.383	0.022	2.392	318.548	0.087
1618954670.27199	232.374	0.022	2.379	318.467	0.090
1618954670.27261	232.352	0.022	2.383	318.306	0.085
1618954670.32097	232.381	0.022	2.429	318.467	0.086
1618954670.33496	232.399	0.022	2.387	318.467	0.086
1618954670.33662	232.435	0.023	2.414	318.467	0.087
1618954670.37397	232.383	0.022	2.366	318.467	0.088
1618954670.37857	232.428	0.022	2.423	318.628	0.088
1618954670.39073	232.390	0.022	2.389	318.467	0.087
1618954670.42900	232.431	0.023	2.417	318.467	0.088
1618954670.43898	232.405	0.022	2.374	318.467	0.087
1618954670.45059	232.389	0.023	2.399	318.548	0.086
1618954670.49397	232.398	0.022	2.386	318.628	0.087
1618954670.49564	232.410	0.022	2.412	318.628	0.087
1618954670.53899	232.376	0.022	2.372	318.467	0.087
1618954670.54063	232.397	0.023	2.423	318.467	0.087
1618954670.56699	232.378	0.022	2.371	318.628	0.086
1618954670.61175	232.385	0.023	2.399	318.467	0.088
1618954670.61559	232.359	0.025	2.737	318.628	0.096
1618954670.61656	232.389	0.024	2.561	318.548	0.094
1618954670.63897	232.349	0.022	2.395	318.467	0.087
1618954670.64898	232.419	0.023	2.420	318.467	0.088
1618954670.68700	232.414	0.022	2.380	318.628	0.087
1618954670.70106	232.454	0.023	2.449	318.628	0.090
1618954670.70898	232.365	0.022	2.346	318.467	0.087
1618954670.74798	232.427	0.022	2.391	318.548	0.091
1618954670.75898	232.389	0.022	2.360	318.709	0.087
1618954670.77200	232.393	0.023	2.409	318.548	0.087
1618954670.81697	232.378	0.022	2.403	318.628	0.088
1618954670.81863	232.422	0.022	2.417	318.548	0.087
1618954670.83098	232.383	0.022	2.390	318.467	0.088
1618954670.87498	232.424	0.023	2.392	318.709	0.090
1618954670.87665	232.436	0.022	2.351	318.548	0.086
1618954670.92601	232.427	0.023	2.426	318.548	0.091
1618954670.92765	232.413	0.022	2.363	318.548	0.086
1618954670.93060	232.416	0.023	2.440	318.548	0.088
1618954670.97001	232.402	0.022	2.352	318.709	0.088
1618954670.99700	232.418	0.022	2.432	318.548	0.088
1618954671.00264	232.402	0.022	2.383	318.548	0.086
1618954671.01677	232.428	0.023	2.430	318.467	0.087
1618954671.02914	232.387	0.022	2.373	318.467	0.087
1618954671.06906	232.435	0.023	2.428	318.548	0.091
1618954671.07900	232.392	0.022	2.320	318.628	0.088
1618954671.09201	232.408	0.022	2.372	318.548	0.088
1618954671.13499	232.363	0.022	2.314	318.548	0.088
1618954671.13859	232.387	0.023	2.422	318.467	0.088
1618954671.15100	232.358	0.022	2.374	318.548	0.088
1618954671.18901	232.387	0.022	2.374	318.548	0.088
1618954671.19064	232.347	0.022	2.395	318.548	0.091
1618954671.23415	232.380	0.023	2.396	318.467	0.088
1618954671.24166	232.368	0.023	2.406	318.548	0.088
1618954671.25077	232.449	0.022	2.386	318.548	0.090
1618954671.28999	232.432	0.022	2.363	318.548	0.088
1618954671.29165	232.470	0.023	2.422	318.628	0.087
1618954671.32900	232.445	0.022	2.390	318.628	0.088
1618954671.36802	232.485	0.023	2.411	318.709	0.087
1618954671.37364	232.440	0.022	2.388	318.548	0.088
1618954671.37567	232.491	0.022	2.407	318.709	0.087
1618954671.41980	232.415	0.022	2.371	318.709	0.085
1618954671.48484	232.423	0.022	2.366	318.709	0.085
1618954671.48658	232.422	0.022	2.372	318.548	0.086
1618954671.50002	232.513	0.023	2.441	318.548	0.090
1618954671.51301	232.433	0.022	2.357	318.789	0.085
1618954671.55700	232.487	0.022	2.425	318.709	0.086
1618954671.55965	232.459	0.022	2.355	318.548	0.086
1618954671.57201	232.483	0.022	2.396	318.628	0.086
1618954671.59800	232.422	0.022	2.367	318.628	0.087
1618954671.61079	232.445	0.024	2.666	318.628	0.098
1618954671.64802	232.425	0.024	2.674	318.709	0.094
1618954671.65898	232.436	0.022	2.414	318.628	0.088
1618954671.67103	232.372	0.022	2.377	318.628	0.086
1618954671.71274	232.413	0.022	2.430	318.628	0.087
1618954671.72163	232.335	0.022	2.395	318.548	0.090
1618954671.73102	232.395	0.022	2.397	318.548	0.087
1618954671.77602	232.362	0.022	2.378	318.548	0.087
1618954671.81380	232.311	0.022	2.355	318.548	0.086
1618954671.81659	232.334	0.022	2.401	318.548	0.090
1618954671.82907	232.315	0.022	2.374	318.548	0.084
1618954671.87102	232.314	0.023	2.444	318.467	0.088
1618954671.88006	232.311	0.022	2.408	318.548	0.086
1618954671.89080	232.372	0.023	2.455	318.548	0.090
1618954671.92955	232.468	0.023	2.461	318.709	0.092
1618954671.93150	232.764	0.023	2.505	318.950	0.087
1618954671.96906	232.707	0.022	2.380	318.789	0.085
1618954671.97862	232.777	0.023	2.438	319.111	0.087
1618954671.98904	232.734	0.022	2.380	319.192	0.086
1618954672.02709	232.766	0.022	2.410	319.192	0.086
1618954672.02868	232.762	0.022	2.378	319.111	0.087
1618954672.04902	232.766	0.023	2.425	319.192	0.088
1618954672.08805	232.756	0.022	2.383	319.111	0.086
1618954672.09068	232.782	0.022	2.398	319.192	0.086
1618954672.12802	232.772	0.022	2.385	319.111	0.087
1618954672.13805	232.797	0.022	2.403	319.192	0.090
1618954672.17703	232.785	0.022	2.362	319.111	0.086
1618954672.19605	232.760	0.022	2.377	319.192	0.090
1618954672.23407	232.805	0.022	2.418	319.192	0.091
1618954672.24711	232.745	0.022	2.362	319.192	0.085
1618954672.28800	232.767	0.022	2.412	319.111	0.086
1618954672.28867	232.755	0.022	2.364	319.031	0.087
1618954672.29065	232.765	0.023	2.413	319.031	0.087
1618954672.33192	232.728	0.022	2.397	319.111	0.087
1618954672.36859	232.706	0.022	2.365	319.192	0.084
1618954672.37201	232.735	0.022	2.423	318.870	0.083
1618954672.41164	232.723	0.022	2.363	318.950	0.085
1618954672.41273	232.757	0.022	2.402	319.111	0.085
1618954672.45008	232.692	0.022	2.371	318.950	0.085
