Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 10.39ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 25.93ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 10.36ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 11.88ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 25.83ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 29.90ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 19.66ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 25.90ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 21.67ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 24.66ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 24.42ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 32.90ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 20.44ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 22.88ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 22.67ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 26.46ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 30.86ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 17.67ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 28.66ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 19.66ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 18.43ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 31.88ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 23.39ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 25.15ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 18.38ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 30.61ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 24.97ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 26.65ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 18.71ms
32 sent, 32 received, 0% loss
