Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 12.35ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 10.94ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 22.83ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 10.66ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 20.61ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 10.65ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 19.39ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 16.85ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 14.64ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 19.67ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 20.66ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 21.78ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 21.90ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 14.85ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 9.64ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 24.66ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 18.83ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 30.59ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 15.72ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 33.86ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 14.39ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 21.14ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 18.26ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 25.03ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 19.52ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 14.97ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 19.41ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 17.64ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 21.87ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 35.61ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 17.41ms
32 sent, 32 received, 0% loss
