# timestamp	V	A	W	V	A
1618934307.30960	1584.812	0.111	75.691	317.260	0.076
1618934307.31462	231.223	0.016	1.586	316.858	0.063
1618934307.36257	231.201	0.016	1.620	316.777	0.066
1618934307.36522	231.205	0.016	1.597	316.697	0.068
1618934307.37022	231.125	0.016	1.592	316.777	0.068
1618934307.41559	231.130	0.016	1.581	316.697	0.063
1618934307.42659	231.118	0.016	1.603	316.777	0.067
1618934307.43623	231.146	0.016	1.621	316.697	0.064
1618934307.47557	231.134	0.016	1.601	316.616	0.066
1618934307.47623	231.190	0.016	1.606	316.777	0.066
1618934307.50660	231.167	0.016	1.575	316.697	0.064
1618934307.51937	231.062	0.016	1.618	316.697	0.066
1618934307.55760	231.110	0.016	1.607	316.777	0.067
1618934307.56735	231.054	0.016	1.637	316.777	0.067
1618934307.57023	231.139	0.016	1.594	316.938	0.068
1618934307.60961	231.090	0.016	1.628	316.697	0.067
1618934307.61121	231.116	0.016	1.580	316.938	0.063
1618934307.65264	231.112	0.016	1.604	316.777	0.063
1618934307.67459	231.072	0.016	1.581	316.697	0.067
1618934307.69061	231.076	0.016	1.610	316.777	0.066
1618934307.72960	231.069	0.016	1.635	316.777	0.066
1618934307.73125	231.135	0.016	1.618	316.777	0.064
1618934307.75060	231.116	0.016	1.594	316.777	0.066
1618934307.79130	231.139	0.016	1.594	316.858	0.066
1618934307.79518	231.113	0.016	1.592	316.777	0.068
1618934307.81760	231.190	0.016	1.618	316.858	0.067
1618934307.85560	231.142	0.016	1.606	316.858	0.068
1618934307.85624	231.175	0.016	1.603	316.858	0.066
1618934307.87837	231.163	0.016	1.625	316.777	0.067
1618934307.91761	231.170	0.016	1.643	316.858	0.063
1618934307.91924	231.078	0.016	1.582	316.858	0.064
1618934307.93963	231.081	0.016	1.596	316.858	0.066
1618934307.95026	231.041	0.016	1.575	316.777	0.067
1618934307.98960	231.085	0.019	1.988	316.777	0.080
1618934308.00065	231.046	0.018	1.840	316.777	0.075
1618934308.01026	231.116	0.016	1.628	316.777	0.067
1618934308.05268	231.058	0.016	1.575	316.777	0.064
1618934308.05425	231.050	0.016	1.602	316.697	0.067
1618934308.09667	231.056	0.016	1.621	316.777	0.067
1618934308.10466	231.061	0.016	1.608	316.858	0.068
1618934308.11265	231.106	0.016	1.587	316.777	0.067
1618934308.15338	231.136	0.016	1.625	316.777	0.067
1618934308.15960	231.168	0.016	1.646	316.938	0.066
1618934308.17226	231.155	0.016	1.600	316.938	0.069
1618934308.21338	231.110	0.016	1.587	316.858	0.067
1618934308.22465	231.084	0.016	1.611	316.858	0.064
1618934308.26261	231.071	0.016	1.606	316.858	0.068
1618934308.26424	231.122	0.016	1.613	317.019	0.063
1618934308.27162	231.170	0.016	1.612	316.938	0.064
1618934308.31064	231.185	0.016	1.652	317.019	0.069
1618934308.32262	231.217	0.016	1.606	317.099	0.066
1618934308.33026	231.222	0.016	1.589	317.019	0.067
1618934308.37627	231.221	0.016	1.580	317.180	0.067
1618934308.37718	231.255	0.016	1.642	317.099	0.066
1618934308.39213	231.273	0.016	1.610	317.099	0.066
1618934308.43231	231.302	0.016	1.587	317.099	0.066
1618934308.43419	231.307	0.016	1.637	317.099	0.069
1618934308.48841	231.277	0.016	1.588	317.019	0.066
1618934308.49537	231.263	0.016	1.552	317.099	0.067
1618934308.49617	231.214	0.016	1.558	317.099	0.066
1618934308.54663	231.209	0.016	1.586	317.019	0.066
1618934308.55126	231.188	0.016	1.588	317.019	0.064
1618934308.55519	231.182	0.016	1.570	317.019	0.064
1618934308.57562	231.184	0.016	1.590	317.019	0.067
1618934308.61725	231.217	0.016	1.576	317.099	0.067
1618934308.62125	231.197	0.016	1.553	317.099	0.068
1618934308.63962	231.216	0.016	1.565	317.099	0.064
1618934308.67721	231.257	0.016	1.606	317.099	0.066
1618934308.67743	231.258	0.016	1.592	317.099	0.067
1618934308.71565	231.233	0.016	1.566	317.099	0.066
1618934308.71620	231.199	0.016	1.577	317.180	0.066
1618934308.75828	231.197	0.016	1.569	317.260	0.067
1618934308.76118	231.160	0.016	1.546	317.019	0.066
1618934308.80868	231.145	0.016	1.595	316.938	0.066
1618934308.81125	231.146	0.016	1.607	316.938	0.064
1618934308.81469	231.112	0.016	1.551	316.858	0.063
1618934308.84142	231.140	0.016	1.565	316.858	0.067
1618934308.87941	231.119	0.016	1.619	316.938	0.066
1618934308.88020	231.101	0.016	1.575	316.938	0.067
1618934308.89864	231.115	0.016	1.598	316.938	0.064
1618934308.91112	231.094	0.016	1.575	316.938	0.064
1618934308.95413	231.094	0.016	1.607	316.858	0.066
1618934308.95710	231.088	0.016	1.592	316.777	0.066
1618934308.96910	231.130	0.016	1.580	316.858	0.066
1618934309.00868	231.095	0.018	1.834	316.858	0.075
1618934309.01129	231.141	0.019	1.985	316.858	0.074
1618934309.04965	231.121	0.016	1.557	316.938	0.064
1618934309.05565	231.078	0.016	1.575	316.777	0.067
