Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 15.21ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 27.99ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 17.41ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 16.95ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 25.84ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 16.67ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 32.60ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 22.73ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 24.65ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 18.67ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 30.61ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 32.63ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 17.62ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 23.65ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 17.61ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 32.65ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 28.56ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 20.04ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 24.90ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 19.66ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 21.65ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 28.69ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 28.65ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 35.89ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 22.67ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 30.89ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 10.90ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 23.87ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 31.67ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 27.67ms
32 sent, 32 received, 0% loss
