Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 13.91ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 25.22ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 23.66ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 25.92ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 23.66ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 20.67ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 29.17ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 23.65ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 31.89ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 18.19ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 23.67ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 25.69ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 24.84ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 24.60ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 24.42ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 18.87ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 30.91ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 30.64ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 17.38ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 31.10ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 19.62ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 38.65ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 10.65ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 26.60ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 22.91ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 40.86ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 33.65ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 17.52ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 31.72ms
32 sent, 32 received, 0% loss
