# timestamp	V	A	W	V	A
1598004975.44285	1373.003	0.215	102.614	324.423	0.205
1598004975.44443	228.793	0.035	2.843	323.940	0.198
1598004975.45387	228.793	0.036	2.874	324.021	0.194
1598004975.49651	228.730	0.036	2.852	323.940	0.198
1598004975.50437	228.673	0.035	2.849	323.940	0.197
1598004975.51557	228.620	0.036	2.856	324.021	0.198
1598004975.55258	228.601	0.036	2.862	323.860	0.198
1598004975.56286	228.635	0.035	2.837	323.779	0.191
1598004975.60060	228.626	0.036	2.899	323.860	0.201
1598004975.60255	228.656	0.035	2.829	323.779	0.194
1598004975.64062	228.639	0.036	2.890	323.779	0.198
1598004975.65359	228.705	0.037	2.872	323.940	0.197
1598004975.69157	228.695	0.036	2.768	324.021	0.195
1598004975.71360	228.664	0.036	2.788	324.101	0.201
1598004975.75161	228.640	0.036	2.763	323.860	0.193
1598004975.76363	228.639	0.036	2.778	323.940	0.197
1598004975.77583	228.670	0.036	2.845	323.940	0.194
1598004975.81750	228.710	0.036	2.816	324.182	0.198
1598004975.83488	228.683	0.036	2.862	324.021	0.194
1598004975.84149	228.710	0.036	2.825	324.021	0.194
1598004975.87892	228.701	0.036	2.846	323.860	0.194
1598004975.88551	228.749	0.036	2.879	324.021	0.195
1598004975.92259	228.773	0.036	2.814	323.940	0.193
1598004975.92957	228.769	0.036	2.885	324.182	0.203
1598004975.96762	228.756	0.036	2.836	324.101	0.201
1598004975.96952	228.775	0.036	2.849	324.101	0.200
1598004975.97139	228.750	0.036	2.862	324.101	0.197
1598004976.00887	228.763	0.036	2.791	323.940	0.195
1598004976.04761	228.747	0.036	2.775	324.182	0.202
1598004976.04841	228.753	0.036	2.781	324.182	0.200
1598004976.05583	228.749	0.036	2.833	324.021	0.204
1598004976.09256	228.724	0.036	2.837	324.101	0.191
1598004976.09743	228.718	0.035	2.732	323.940	0.195
1598004976.13561	228.649	0.036	2.835	323.940	0.200
1598004976.13643	228.661	0.036	2.757	323.940	0.199
1598004976.17388	228.736	0.036	2.874	323.940	0.200
1598004976.18351	228.735	0.036	2.897	324.021	0.199
1598004976.19552	228.737	0.036	2.900	324.101	0.197
1598004976.23561	228.690	0.036	2.894	324.101	0.194
1598004976.24487	228.666	0.036	2.844	323.940	0.205
1598004976.25588	228.691	0.036	2.890	324.021	0.200
1598004976.29262	228.700	0.036	2.869	323.940	0.201
1598004976.33061	228.730	0.036	2.887	323.860	0.192
1598004976.33142	228.718	0.036	2.913	323.940	0.201
