Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 11.90ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 11.07ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 33.00ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 17.56ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 17.24ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 18.79ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 31.76ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 27.90ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 21.33ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 12.77ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 19.85ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 18.10ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 10.65ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 18.05ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 29.03ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 19.98ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 20.42ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 25.14ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 24.39ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 23.88ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 25.84ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 24.62ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 24.40ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 25.07ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 19.64ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 29.62ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 24.97ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 24.66ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 17.67ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 30.44ms
32 sent, 32 received, 0% loss
