# timestamp	V	A	W	V	A
1594365406.43089	1604.002	0.025	377421.103	324.986	0.008
1594365406.44715	229.008	0.003	377421.573	324.423	0.008
1594365406.46458	229.036	0.003	0.024	324.423	0.008
1594365406.48461	229.013	0.003	377421.588	324.423	0.007
1594365406.50212	229.005	0.003	377421.577	324.504	0.007
1594365406.52588	229.048	0.003	377421.591	324.423	0.008
1594365406.54580	229.061	0.004	377421.573	324.504	0.008
1594365406.56339	229.035	0.004	0.015	324.423	0.009
1594365406.57963	229.021	0.004	377421.583	324.584	0.007
1594365406.60330	229.014	0.003	377421.594	324.423	0.007
1594365406.63333	229.032	0.003	377421.570	324.584	0.007
1594365406.64711	229.058	0.004	377421.575	324.423	0.008
1594365406.66481	229.049	0.003	377421.571	324.504	0.008
1594365406.67586	229.066	0.003	377421.583	324.504	0.008
1594365406.71475	229.060	0.003	0.009	324.584	0.007
1594365406.73589	229.069	0.003	377421.573	324.665	0.008
1594365406.76704	229.062	0.003	377421.578	324.584	0.009
1594365406.78582	229.050	0.003	377421.588	324.584	0.007
1594365406.80708	229.053	0.003	377421.590	324.504	0.007
1594365406.83479	229.087	0.003	377421.570	324.504	0.008
1594365406.83586	229.053	0.003	377421.575	324.423	0.008
1594365406.87205	229.032	0.004	377421.577	324.584	0.007
1594365406.88712	229.029	0.003	377421.571	324.343	0.007
1594365406.89712	228.980	0.003	377421.587	324.343	0.008
1594365406.93080	228.966	0.003	377421.566	324.343	0.007
1594365406.95481	228.965	0.003	0.003	324.423	0.007
1594365406.96580	229.044	0.003	0.016	324.423	0.008
1594365406.97587	228.997	0.003	377421.586	324.423	0.008
1594365407.00212	229.008	0.003	377421.566	324.504	0.007
1594365407.02455	229.025	0.003	377421.586	324.343	0.008
1594365407.03587	229.027	0.003	0.009	324.423	0.008
1594365407.06212	229.035	0.003	0.000	324.343	0.007
1594365407.08580	229.034	0.003	0.005	324.423	0.007
1594365407.09587	229.026	0.003	0.004	324.584	0.007
1594365407.12705	229.077	0.003	377421.577	324.423	0.007
1594365407.14480	229.058	0.003	377421.575	324.504	0.008
1594365407.15587	229.084	0.003	0.007	324.504	0.007
1594365407.18830	229.047	0.003	377421.575	324.584	0.008
1594365407.19587	229.039	0.003	377421.587	324.745	0.007
1594365407.21587	229.041	0.003	377421.593	324.504	0.008
1594365407.24955	229.046	0.003	377421.590	324.584	0.008
1594365407.26608	229.031	0.004	377421.587	324.504	0.008
1594365407.29083	229.058	0.004	377421.587	324.584	0.008
1594365407.31732	229.007	0.003	377421.589	324.423	0.007
1594365407.32588	229.038	0.003	377421.561	324.423	0.007
1594365407.34581	229.078	0.003	0.006	324.504	0.007
1594365407.36212	229.065	0.003	377421.578	324.423	0.008
1594365407.37838	229.046	0.003	0.011	324.504	0.007
1594365407.40331	229.018	0.003	377421.582	324.423	0.007
1594365407.43707	229.020	0.003	0.011	324.343	0.007
1594365407.46586	229.056	0.004	377421.559	324.504	0.008
1594365407.48213	229.005	0.003	0.010	324.423	0.007
1594365407.50831	228.988	0.003	0.012	324.584	0.007
1594365407.51588	229.052	0.003	377421.580	324.343	0.008
1594365407.53588	229.060	0.003	0.008	324.423	0.007
1594365407.57205	229.014	0.003	0.014	324.504	0.008
1594365407.58605	229.018	0.003	0.004	324.343	0.007
1594365407.60710	228.998	0.003	377421.590	324.504	0.008
1594365407.63358	229.016	0.003	0.001	324.423	0.008
1594365407.64088	229.031	0.003	377421.548	324.504	0.008
1594365407.67207	229.024	0.003	0.014	324.504	0.007
1594365407.68463	228.960	0.003	377421.584	324.423	0.007
1594365407.69838	228.923	0.003	377421.572	324.423	0.008
1594365407.72456	228.975	0.004	377421.578	324.423	0.008
1594365407.75606	228.935	0.004	377421.576	324.343	0.008
1594365407.77207	228.891	0.003	377421.593	324.584	0.007
1594365407.78483	228.749	0.003	377421.575	324.262	0.007
1594365407.80213	228.723	0.003	377421.568	324.262	0.007
1594365407.83207	228.744	0.003	0.005	324.101	0.008
1594365407.83838	228.747	0.004	377421.585	324.101	0.008
1594365407.86088	228.714	0.004	377421.576	324.021	0.008
1594365407.88956	228.695	0.003	377421.575	324.021	0.007
1594365407.90731	228.705	0.003	377421.592	324.021	0.008
1594365407.92704	228.735	0.003	0.013	324.101	0.008
1594365407.95583	228.720	0.003	377421.572	323.940	0.007
1594365407.96098	228.792	0.003	377421.593	324.101	0.008
1594365407.98709	228.729	0.004	377421.584	323.940	0.008
1594365408.00339	228.726	0.003	0.007	324.021	0.008
1594365408.02214	228.777	0.003	0.002	324.021	0.007
1594365408.03714	228.771	0.004	377421.582	324.343	0.008
1594365408.06339	228.756	0.003	0.005	323.940	0.007
