Ping: 00:06:66:4D:F0:2F from 00:11:67:73:30:95 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 8.96ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 35.84ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 35.88ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 36.88ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 35.87ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 35.88ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 36.87ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 35.91ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 35.87ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 35.89ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 36.87ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 35.91ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 35.87ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 36.89ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 35.88ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 35.89ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 35.88ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 37.89ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 35.87ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 36.89ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 36.88ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 35.88ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 36.88ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 12.88ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 36.88ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 38.89ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 60.90ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 60.89ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 36.88ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 35.90ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 35.88ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 35.90ms
32 sent, 32 received, 0% loss
