Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 11.48ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 9.96ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 22.73ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 27.52ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 36.69ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 23.63ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 18.57ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 18.58ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 21.92ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 24.89ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 10.02ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 21.63ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 16.65ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 25.59ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 25.60ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 28.65ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 19.42ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 24.89ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 24.65ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 24.61ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 24.95ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 24.66ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 24.65ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.62ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 13.70ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 19.48ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 16.71ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 24.40ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 23.64ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 13.80ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 18.65ms
32 sent, 32 received, 0% loss
