# timestamp	V	A	W	V	A
1596461491.49229	1397.493	0.021	377421.291	326.355	0.008
1596461491.50680	229.558	0.003	377421.583	325.630	0.007
1596461491.51673	229.587	0.003	377421.593	325.791	0.007
1596461491.57221	229.600	0.003	0.016	325.630	0.007
1596461491.57379	229.515	0.003	0.005	325.711	0.007
1596461491.57476	229.533	0.003	377421.559	325.791	0.008
1596461491.61227	229.564	0.003	377421.586	325.791	0.007
1596461491.61378	229.573	0.003	377421.588	325.711	0.007
1596461491.65077	229.557	0.003	0.012	325.630	0.007
1596461491.66378	229.516	0.004	377421.580	325.630	0.008
1596461491.70082	229.510	0.003	377421.584	325.630	0.008
1596461491.70373	229.536	0.003	377421.593	325.630	0.008
1596461491.74219	229.509	0.003	377421.592	325.550	0.008
1596461491.74383	229.532	0.003	377421.579	325.791	0.007
1596461491.76680	229.489	0.003	377421.582	325.550	0.007
1596461491.80479	229.517	0.003	377421.594	325.550	0.008
1596461491.80577	229.531	0.003	377421.581	325.630	0.008
1596461491.82681	229.426	0.003	377421.582	325.550	0.007
1596461491.83671	229.405	0.003	0.006	325.469	0.007
1596461491.87602	229.422	0.003	377421.566	325.469	0.008
1596461491.87671	229.476	0.003	0.002	325.469	0.007
1596461491.91526	229.444	0.003	377421.568	325.469	0.007
1596461491.91581	229.402	0.003	377421.582	325.630	0.008
1596461491.95380	229.434	0.003	377421.576	325.469	0.008
1596461491.96374	229.462	0.003	0.010	325.630	0.008
1596461492.00322	229.498	0.003	377421.557	325.550	0.008
1596461492.05725	229.501	0.003	377421.586	325.630	0.007
1596461492.05882	229.511	0.003	0.010	325.711	0.008
1596461492.05971	229.531	0.003	377421.588	325.630	0.007
1596461492.09787	229.557	0.003	377421.588	325.550	0.007
1596461492.10377	229.577	0.003	377421.590	325.630	0.008
1596461492.14127	229.567	0.003	377421.578	325.630	0.007
1596461492.14382	229.562	0.003	377421.578	325.711	0.007
1596461492.18126	229.619	0.003	377421.570	325.872	0.007
1596461492.18371	229.647	0.003	377421.574	325.791	0.008
1596461492.22092	229.678	0.003	377421.554	325.952	0.008
1596461492.22375	229.664	0.003	377421.591	325.791	0.007
1596461492.26220	229.660	0.003	377421.568	325.791	0.008
1596461492.26384	229.615	0.003	0.008	325.711	0.007
1596461492.30127	229.674	0.003	0.008	325.711	0.007
1596461492.30382	229.645	0.003	377421.580	325.630	0.007
1596461492.34105	229.605	0.003	377421.583	325.630	0.008
1596461492.35423	229.605	0.003	0.002	325.550	0.008
1596461492.36378	229.623	0.003	377421.582	325.630	0.008
1596461492.40228	229.607	0.003	377421.581	325.630	0.008
1596461492.44080	229.597	0.003	377421.587	325.550	0.007
1596461492.44181	229.628	0.003	377421.584	325.630	0.007
1596461492.45175	229.649	0.003	0.003	325.630	0.007
1596461492.49418	229.656	0.003	0.004	325.711	0.007
1596461492.49481	229.654	0.003	0.003	325.711	0.008
1596461492.50715	229.652	0.003	0.011	325.711	0.008
1596461492.51681	229.632	0.004	377421.586	325.711	0.008
1596461492.55480	229.662	0.003	0.018	325.872	0.007
1596461492.56715	229.662	0.003	0.010	325.711	0.007
1596461492.57681	229.591	0.003	0.003	325.469	0.008
1596461492.61517	229.586	0.003	377421.574	325.550	0.007
1596461492.62716	229.637	0.003	377421.593	325.630	0.007
1596461492.66485	229.632	0.003	377421.572	325.550	0.007
1596461492.66674	229.614	0.003	377421.580	325.469	0.007
1596461492.67718	229.616	0.003	377421.567	325.711	0.008
1596461492.71518	229.637	0.003	377421.583	325.711	0.007
1596461492.72679	229.612	0.003	377421.581	325.630	0.008
1596461492.73685	229.623	0.003	377421.594	325.630	0.008
1596461492.77478	229.543	0.003	0.003	325.711	0.008
1596461492.78478	229.587	0.003	377421.576	325.791	0.008
1596461492.82177	229.625	0.003	0.004	325.550	0.007
1596461492.82691	229.586	0.003	0.003	325.630	0.008
1596461492.86517	229.559	0.003	377421.553	325.550	0.007
1596461492.86582	229.532	0.003	377421.588	325.550	0.008
1596461492.88579	229.526	0.003	377421.577	325.630	0.007
1596461492.89692	229.538	0.003	377421.585	325.389	0.007
1596461492.93921	229.524	0.003	377421.573	325.469	0.007
1596461492.94826	229.547	0.003	377421.577	325.469	0.008
1596461492.95918	229.560	0.003	377421.548	325.550	0.008
1596461492.99818	229.544	0.003	377421.588	325.469	0.007
1596461493.00881	229.573	0.004	0.001	325.469	0.007
1596461493.02412	229.547	0.003	377421.570	325.550	0.008
1596461493.05767	229.548	0.003	0.002	325.550	0.007
1596461493.05961	229.524	0.004	377421.559	325.630	0.007
1596461493.09690	229.507	0.003	377421.573	325.389	0.007
1596461493.11222	229.456	0.003	377421.577	325.469	0.008
1596461493.12119	229.521	0.004	377421.576	325.550	0.008
1596461493.16021	229.586	0.004	377421.563	325.469	0.008
1596461493.16980	229.607	0.003	0.008	325.711	0.008
1596461493.17873	229.584	0.003	377421.580	325.630	0.007
1596461493.21715	229.563	0.003	377421.568	325.630	0.008
1596461493.22984	229.570	0.003	377421.585	325.630	0.007
1596461493.23881	229.575	0.003	377421.589	325.630	0.007
1596461493.27688	229.610	0.003	377421.586	325.630	0.007
1596461493.31524	229.574	0.003	377421.582	325.550	0.007
1596461493.31587	229.564	0.003	377421.570	325.550	0.008
1596461493.31676	229.576	0.003	0.007	325.550	0.008
1596461493.35721	229.567	0.003	0.003	325.550	0.008
1596461493.35886	229.537	0.003	0.015	325.550	0.007
1596461493.39583	229.557	0.003	0.007	325.630	0.007
1596461493.40185	229.567	0.003	0.008	325.630	0.008
1596461493.44022	229.608	0.003	0.005	325.630	0.008
1596461493.44186	229.606	0.003	0.003	325.550	0.008
1596461493.48024	229.606	0.003	377421.569	325.630	0.007
1596461493.48186	229.648	0.004	377421.582	325.791	0.008
1596461493.49680	229.712	0.003	0.002	325.711	0.008
1596461493.54523	229.499	0.003	377421.568	325.630	0.007
1596461493.56487	229.443	0.003	0.010	325.469	0.007
1596461493.58721	229.436	0.003	377421.583	325.308	0.007
1596461493.60984	229.442	0.003	0.000	325.550	0.008
1596461493.64821	229.442	0.003	377421.584	325.308	0.007
1596461493.64986	229.445	0.003	0.002	325.469	0.007
1596461493.65883	229.447	0.003	377421.565	325.630	0.008
1596461493.69721	229.427	0.003	0.011	325.389	0.007
1596461493.69886	229.423	0.003	377421.585	325.550	0.007
1596461493.73623	229.395	0.003	0.004	325.469	0.007
1596461493.74187	229.423	0.003	377421.591	325.469	0.007
1596461493.78523	229.467	0.003	377421.588	325.389	0.008
1596461493.78676	229.469	0.003	377421.588	325.550	0.008
1596461493.82523	229.465	0.004	377421.584	325.469	0.007
1596461493.82587	229.435	0.003	377421.585	325.389	0.007
1596461493.84722	229.465	0.003	0.004	325.308	0.008
1596461493.88523	229.465	0.003	377421.592	325.550	0.007
1596461493.88586	229.474	0.003	377421.577	325.550	0.008
1596461493.92723	229.480	0.004	377421.590	325.469	0.008
1596461493.92889	229.493	0.003	377421.593	325.469	0.008
1596461493.97724	229.487	0.003	0.005	325.469	0.007
1596461493.97887	229.455	0.003	377421.570	325.389	0.007
1596461493.98081	229.446	0.003	377421.574	325.389	0.007
1596461494.02222	229.480	0.003	377421.581	325.630	0.008
1596461494.02388	229.494	0.003	377421.593	325.550	0.008
1596461494.06427	229.484	0.003	0.009	325.550	0.007
1596461494.07982	229.505	0.003	377421.558	325.630	0.007
1596461494.12023	229.570	0.003	377421.593	325.791	0.007
1596461494.12885	229.568	0.003	377421.575	325.630	0.008
1596461494.13924	229.542	0.003	377421.577	325.630	0.008
1596461494.17693	229.531	0.003	377421.585	325.630	0.007
1596461494.17886	229.507	0.003	377421.586	325.630	0.008
1596461494.21724	229.548	0.003	0.003	325.711	0.007
1596461494.23623	229.520	0.003	377421.566	325.711	0.007
1596461494.24522	229.524	0.003	0.009	325.630	0.008
1596461494.26704	229.537	0.003	377421.585	325.791	0.008
1596461494.30528	229.507	0.003	377421.578	325.550	0.008
1596461494.30590	229.518	0.003	377421.579	325.550	0.007
1596461494.35525	229.460	0.004	377421.588	325.550	0.008
1596461494.35578	229.421	0.003	0.022	325.711	0.007
1596461494.35690	229.299	0.003	377421.564	325.469	0.008
1596461494.39482	229.236	0.003	377421.591	325.389	0.007
1596461494.39578	229.212	0.003	0.026	325.469	0.007
1596461494.43524	229.219	0.003	377421.572	325.308	0.007
1596461494.44726	229.259	0.003	377421.582	325.469	0.007
1596461494.45691	229.227	0.003	0.004	325.469	0.008
1596461494.49624	229.193	0.003	377421.563	325.308	0.008
1596461494.49689	229.174	0.003	0.003	325.389	0.007
1596461494.53487	229.147	0.003	377421.593	325.389	0.008
1596461494.54673	229.103	0.003	377421.585	325.469	0.007
1596461494.55689	229.065	0.003	377421.583	325.228	0.007
1596461494.59675	229.080	0.003	0.001	325.228	0.008
1596461494.60971	229.062	0.003	377421.575	325.228	0.007
1596461494.62071	229.073	0.003	377421.574	325.308	0.007
1596461494.66125	229.085	0.003	0.004	325.469	0.008
