# timestamp	V	A	W	V	A
1604914707.29747	1216.510	0.186	86.334	324.825	0.183
1604914707.32946	229.894	0.035	3.116	324.906	0.179
1604914707.33247	229.879	0.035	3.115	324.745	0.178
1604914707.37045	229.878	0.035	3.100	324.906	0.175
1604914707.37344	229.897	0.035	3.103	324.745	0.175
1604914707.40445	229.903	0.035	3.096	324.825	0.175
1604914707.41244	229.863	0.035	3.077	324.986	0.178
1604914707.44345	229.896	0.035	3.125	324.745	0.177
1604914707.44444	229.875	0.035	3.075	324.906	0.175
1604914707.47744	229.882	0.035	3.093	324.825	0.178
1604914707.50944	229.908	0.035	3.138	324.745	0.178
1604914707.51243	229.957	0.035	3.152	324.986	0.176
1604914707.54344	229.936	0.035	3.110	324.986	0.176
1604914707.54443	229.955	0.035	3.130	324.906	0.182
1604914707.57743	229.950	0.035	3.101	324.906	0.178
1604914707.57843	229.933	0.035	3.131	324.986	0.178
1604914707.60944	229.917	0.035	3.085	324.906	0.175
1604914707.64243	229.978	0.035	3.144	325.067	0.179
1604914707.64343	229.947	0.035	3.079	324.986	0.179
1604914707.67642	229.923	0.035	3.106	324.825	0.176
1604914707.70843	229.941	0.035	3.120	324.986	0.178
1604914707.70942	229.910	0.035	3.071	324.986	0.176
1604914707.74444	229.890	0.035	3.108	324.906	0.179
1604914707.74542	229.918	0.035	3.113	324.906	0.178
1604914707.77744	229.905	0.035	3.109	324.906	0.173
1604914707.80942	229.932	0.035	3.118	324.825	0.175
1604914707.81042	229.869	0.035	3.124	324.825	0.176
1604914707.84342	229.852	0.035	3.126	324.986	0.176
1604914707.84942	229.826	0.035	3.074	324.986	0.171
1604914707.88043	229.842	0.035	3.104	324.825	0.177
1604914707.91342	229.834	0.035	3.110	324.986	0.179
1604914707.91441	229.815	0.035	3.104	324.825	0.175
1604914707.94543	229.774	0.035	3.108	324.825	0.176
1604914707.94841	229.728	0.035	3.120	325.067	0.178
1604914707.97943	229.680	0.035	3.121	324.906	0.177
1604914708.01242	229.695	0.035	3.115	324.986	0.177
1604914708.01341	229.679	0.035	3.130	324.986	0.176
1604914708.04442	229.675	0.035	3.096	324.906	0.179
1604914708.04740	229.675	0.035	3.091	324.906	0.173
1604914708.07842	229.703	0.035	3.103	324.825	0.175
1604914708.07940	229.712	0.035	3.103	324.906	0.180
1604914708.11240	229.753	0.035	3.100	324.825	0.176
1604914708.14341	229.692	0.035	3.101	324.745	0.174
1604914708.14541	229.688	0.035	3.093	324.825	0.175
1604914708.17941	229.728	0.035	3.114	324.825	0.179
1604914708.18040	229.730	0.035	3.118	324.825	0.176
1604914708.21340	229.741	0.035	3.108	324.825	0.174
1604914708.24440	229.760	0.035	3.107	324.906	0.175
1604914708.24540	229.793	0.035	3.080	324.906	0.179
1604914708.27839	229.976	0.035	3.053	324.906	0.174
1604914708.28339	230.013	0.035	3.082	324.825	0.175
1604914708.34640	230.003	0.035	3.103	324.825	0.179
1604914708.34739	229.990	0.035	3.080	324.906	0.176
1604914708.34839	229.981	0.035	3.082	324.986	0.173
1604914708.38139	230.016	0.035	3.093	324.745	0.170
1604914708.38239	230.011	0.035	3.097	324.825	0.177
1604914708.41340	230.056	0.035	3.125	324.825	0.175
1604914708.44638	230.053	0.035	3.111	324.906	0.174
1604914708.44738	230.023	0.035	3.113	324.825	0.177
1604914708.47938	230.033	0.035	3.066	324.745	0.176
1604914708.51139	230.040	0.035	3.109	324.745	0.175
1604914708.51238	230.076	0.035	3.143	324.906	0.177
1604914708.54339	230.111	0.035	3.116	324.986	0.176
1604914708.54438	230.072	0.035	3.102	324.906	0.181
1604914708.57539	230.088	0.035	3.118	324.825	0.175
1604914708.60838	230.127	0.035	3.066	324.825	0.177
1604914708.60938	230.108	0.035	3.061	324.986	0.178
1604914708.64438	230.106	0.035	3.053	324.825	0.173
1604914708.64538	230.082	0.035	3.071	324.906	0.179
1604914708.67738	230.156	0.035	3.093	324.825	0.176
1604914708.70939	230.125	0.035	3.044	324.745	0.174
1604914708.71037	230.127	0.035	3.080	324.825	0.178
1604914708.74238	230.116	0.035	3.061	324.825	0.174
1604914708.77438	230.115	0.035	3.052	324.825	0.175
1604914708.77537	230.154	0.035	3.059	324.906	0.175
1604914708.81338	230.144	0.035	3.067	324.906	0.178
1604914708.81437	230.119	0.035	3.084	324.906	0.175
1604914708.84538	230.103	0.035	3.076	324.906	0.176
