# timestamp	V	A	W	V	A
1606995370.97321	1600.175	0.372	241.282	326.274	0.258
1606995371.00518	230.933	0.054	5.022	326.194	0.255
1606995371.00591	230.913	0.054	5.010	326.194	0.258
1606995371.03819	230.877	0.054	5.001	326.113	0.251
1606995371.07117	230.908	0.054	4.994	326.194	0.249
1606995371.07217	230.917	0.054	5.034	326.274	0.251
1606995371.10417	230.964	0.054	5.028	326.194	0.259
1606995371.10518	230.958	0.054	5.007	326.274	0.257
1606995371.13616	230.924	0.054	5.007	326.194	0.254
1606995371.16916	230.938	0.053	4.986	326.194	0.241
1606995371.17016	230.937	0.054	5.003	326.194	0.254
1606995371.20617	230.945	0.054	5.048	326.194	0.252
1606995371.20915	231.007	0.054	4.995	326.274	0.250
1606995371.24016	231.018	0.054	5.015	326.355	0.250
1606995371.24315	230.981	0.054	4.956	326.274	0.253
1606995371.27416	230.990	0.054	5.000	326.194	0.245
1606995371.30516	230.949	0.053	4.983	326.274	0.245
1606995371.30815	230.968	0.054	5.012	326.355	0.247
1606995371.33915	230.951	0.054	5.005	326.194	0.251
1606995371.37215	230.936	0.054	5.040	326.274	0.243
1606995371.37414	230.966	0.053	5.018	326.274	0.243
1606995371.37514	230.996	0.054	5.084	326.274	0.250
1606995371.40914	230.981	0.054	5.053	326.194	0.248
1606995371.44016	230.963	0.054	5.028	326.194	0.249
1606995371.44114	230.951	0.054	5.030	326.274	0.252
1606995371.47515	230.966	0.056	5.209	326.194	0.261
1606995371.47615	230.980	0.056	5.256	326.274	0.261
1606995371.53915	231.000	0.054	5.023	326.194	0.249
1606995371.54014	230.976	0.054	5.110	326.274	0.248
1606995371.54114	230.981	0.054	5.066	326.194	0.247
1606995371.57414	231.025	0.054	5.079	326.274	0.251
1606995371.57514	231.013	0.054	5.046	326.274	0.246
1606995371.60614	230.974	0.054	5.071	326.194	0.245
1606995371.63914	230.924	0.054	5.072	326.194	0.255
1606995371.64014	230.954	0.054	5.081	326.355	0.246
1606995371.67314	230.978	0.054	5.087	326.274	0.250
1606995371.70414	230.947	0.054	5.083	326.355	0.254
1606995371.70513	230.942	0.054	5.007	326.194	0.252
1606995371.73813	230.964	0.054	4.997	326.194	0.250
1606995371.73913	230.963	0.054	5.055	326.355	0.249
1606995371.77014	231.012	0.054	5.065	326.274	0.255
1606995371.77613	231.026	0.054	5.016	326.194	0.253
1606995371.80814	231.016	0.055	5.034	326.355	0.260
1606995371.83914	230.998	0.054	5.042	326.274	0.251
1606995371.84013	230.993	0.054	5.039	326.274	0.254
1606995371.87113	231.032	0.054	5.038	326.274	0.258
1606995371.90415	231.039	0.055	5.059	326.355	0.258
1606995371.90513	230.994	0.054	5.035	326.194	0.249
1606995371.93912	230.975	0.054	5.008	326.033	0.257
