# timestamp	V	A	W	V	A
1606993933.48404	1461.320	0.226	121.556	326.757	0.186
1606993933.48599	231.302	0.036	3.063	326.677	0.183
1606993933.51801	231.319	0.036	3.024	326.757	0.183
1606993933.55400	231.323	0.036	3.050	326.918	0.183
1606993933.55599	231.362	0.035	2.998	326.838	0.185
1606993933.58800	231.293	0.036	3.014	326.757	0.185
1606993933.58900	231.341	0.036	3.059	326.918	0.189
1606993933.61999	231.329	0.036	3.012	326.918	0.186
1606993933.62098	231.351	0.036	3.000	326.999	0.188
1606993933.65398	231.358	0.036	2.964	326.838	0.181
1606993933.65898	231.301	0.036	2.988	326.838	0.180
1606993933.69098	231.307	0.036	3.053	326.677	0.186
1606993933.72299	231.401	0.036	3.029	326.918	0.186
1606993933.72398	231.377	0.036	2.985	326.838	0.185
1606993933.75598	231.381	0.036	3.027	326.838	0.188
1606993933.75697	231.377	0.035	2.998	326.918	0.180
1606993933.78898	231.392	0.036	3.033	326.918	0.181
1606993933.81998	231.408	0.036	2.997	326.999	0.182
1606993933.82097	231.436	0.036	3.005	326.999	0.182
1606993933.85298	231.412	0.036	3.009	326.918	0.182
1606993933.88398	231.376	0.035	2.993	326.999	0.186
1606993933.88497	231.405	0.036	3.053	326.918	0.186
1606993933.91797	231.377	0.035	2.967	326.838	0.182
1606993933.94897	231.418	0.036	3.067	326.918	0.187
1606993933.94996	231.389	0.035	2.963	326.999	0.185
1606993933.98097	231.303	0.036	3.030	326.918	0.185
1606993933.98196	231.365	0.036	3.039	326.838	0.186
1606993934.01496	231.386	0.035	3.041	326.918	0.181
1606993934.04899	231.382	0.036	3.046	327.079	0.186
1606993934.04996	231.397	0.036	3.076	326.999	0.188
1606993934.08296	231.351	0.035	3.034	326.918	0.186
1606993934.08396	231.382	0.036	3.076	327.079	0.182
1606993934.11497	231.414	0.036	3.014	326.999	0.185
1606993934.14797	231.400	0.036	3.040	326.999	0.179
1606993934.15496	231.393	0.035	3.047	326.918	0.180
1606993934.19297	231.373	0.035	3.028	326.838	0.176
1606993934.19495	231.390	0.036	3.049	326.918	0.181
1606993934.22597	231.359	0.035	3.001	326.999	0.177
1606993934.22895	231.418	0.036	3.051	326.918	0.183
1606993934.25996	231.431	0.035	3.009	326.918	0.181
1606993934.29096	231.389	0.035	3.040	326.918	0.180
1606993934.29395	231.368	0.036	3.051	326.999	0.180
1606993934.33096	231.360	0.036	3.018	326.838	0.183
1606993934.33394	231.370	0.036	3.014	326.838	0.185
1606993934.36594	231.389	0.036	3.063	326.918	0.187
1606993934.36796	231.414	0.035	3.014	326.999	0.183
1606993934.40394	231.405	0.036	3.046	326.918	0.181
1606993934.40494	231.393	0.036	3.047	326.999	0.187
1606993934.43595	231.393	0.036	3.023	326.838	0.183
1606993934.46395	231.356	0.036	3.021	326.999	0.182
1606993934.46494	231.384	0.036	3.081	326.918	0.185
1606993934.49294	231.381	0.036	3.061	326.838	0.188
1606993934.52394	231.389	0.035	3.010	326.918	0.185
1606993934.52493	231.391	0.036	3.009	326.918	0.187
1606993934.55793	231.384	0.035	3.018	326.838	0.180
1606993934.55893	231.351	0.036	3.050	326.838	0.188
1606993934.58994	231.407	0.036	3.040	326.838	0.188
1606993934.62094	231.431	0.036	2.976	326.918	0.187
1606993934.62293	231.448	0.036	3.024	326.918	0.186
1606993934.65493	231.437	0.035	3.008	326.838	0.180
1606993934.65593	231.420	0.035	3.005	326.918	0.180
1606993934.68693	231.420	0.036	3.043	326.918	0.183
1606993934.71992	231.421	0.036	3.023	327.079	0.186
1606993934.72092	231.414	0.036	3.015	326.918	0.187
1606993934.75293	231.431	0.036	3.004	327.079	0.181
1606993934.78993	231.434	0.035	2.981	326.838	0.182
1606993934.79092	231.394	0.036	3.056	326.918	0.185
1606993934.82293	231.452	0.036	3.056	326.999	0.188
1606993934.82392	231.491	0.036	3.090	326.999	0.185
1606993934.85894	231.467	0.036	3.062	326.999	0.185
1606993934.89193	231.454	0.036	3.021	327.079	0.182
1606993934.89292	231.467	0.036	3.033	326.999	0.185
1606993934.92392	231.481	0.035	3.001	326.918	0.178
1606993934.92592	231.489	0.036	3.062	326.918	0.180
1606993934.95793	231.519	0.036	3.072	326.999	0.183
1606993934.98992	231.490	0.036	3.062	327.079	0.183
1606993934.99091	231.493	0.035	3.045	327.159	0.183
1606993935.02293	231.485	0.035	3.049	326.999	0.182
1606993935.05491	231.480	0.035	3.060	327.079	0.180
1606993935.05691	231.461	0.036	3.084	327.079	0.188
1606993935.05792	231.449	0.035	3.048	326.918	0.181
1606993935.08892	231.481	0.035	3.031	326.918	0.176
1606993935.11991	231.489	0.036	3.049	326.838	0.181
1606993935.15292	231.464	0.036	3.083	326.999	0.183
1606993935.15891	231.409	0.036	3.082	326.918	0.183
1606993935.18991	231.456	0.036	3.046	326.999	0.183
1606993935.19290	231.446	0.035	3.025	326.999	0.185
1606993935.22392	231.481	0.036	3.097	327.079	0.186
1606993935.22490	231.535	0.036	3.028	327.159	0.185
1606993935.25790	231.514	0.035	2.953	326.918	0.183
1606993935.28992	231.491	0.035	3.005	326.999	0.182
1606993935.29289	231.485	0.036	3.073	326.918	0.188
1606993935.32403	231.498	0.036	2.980	327.079	0.188
1606993935.32491	231.503	0.036	3.072	327.079	0.187
1606993935.35789	231.506	0.036	3.032	327.079	0.183
1606993935.35889	231.500	0.036	3.044	327.079	0.186
1606993935.38990	231.505	0.036	3.012	327.079	0.187
1606993935.42191	231.508	0.036	3.029	327.079	0.180
1606993935.42289	231.524	0.036	3.047	326.999	0.183
1606993935.45489	231.585	0.036	3.053	327.079	0.182
1606993935.45589	231.587	0.036	3.027	327.159	0.186
1606993935.48790	231.619	0.036	3.053	327.079	0.187
1606993935.52089	231.634	0.036	3.086	327.401	0.188
1606993935.55290	231.656	0.036	3.041	327.240	0.188
1606993935.58489	231.568	0.035	2.991	327.159	0.181
1606993935.58589	231.596	0.036	3.038	327.159	0.186
1606993935.61888	231.572	0.036	3.081	327.159	0.187
1606993935.61988	231.577	0.036	3.029	327.159	0.189
1606993935.65089	231.654	0.036	3.018	327.159	0.185
1606993935.68388	231.632	0.036	3.040	327.320	0.189
1606993935.68488	231.625	0.035	3.005	327.240	0.182
1606993935.71589	231.659	0.036	3.068	327.159	0.186
1606993935.74889	231.616	0.035	3.003	326.999	0.177
1606993935.74987	231.637	0.036	3.124	327.240	0.185
1606993935.78388	231.613	0.036	3.014	327.159	0.183
1606993935.78487	231.607	0.036	3.042	327.159	0.183
1606993935.81588	231.614	0.035	3.035	327.159	0.178
1606993935.82087	231.509	0.036	3.039	327.159	0.182
1606993935.85288	231.547	0.036	3.096	327.240	0.183
1606993935.88388	231.574	0.036	3.027	327.240	0.186
1606993935.88486	231.587	0.035	2.988	327.159	0.183
1606993935.91587	231.638	0.036	3.104	327.240	0.187
1606993935.94886	231.674	0.036	3.063	327.240	0.186
1606993935.94986	231.673	0.036	3.002	327.401	0.180
1606993935.98187	231.644	0.036	3.051	327.320	0.187
1606993935.98286	231.594	0.035	2.993	327.320	0.178
