Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 12.53ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 12.65ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 20.19ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 10.63ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 32.62ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 10.62ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 19.61ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 22.68ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 26.62ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 30.62ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 19.65ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 21.63ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 24.62ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 22.62ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 26.62ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 23.95ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 33.63ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 16.67ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 14.66ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 19.66ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 17.45ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 23.82ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 22.61ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 11.64ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 18.61ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 17.63ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 25.63ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 15.66ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 33.63ms
32 sent, 32 received, 0% loss
