# timestamp	V	A	W	V	A
1595485762.04216	757.768	0.126	32.972	324.021	0.215
1595485762.04358	228.521	0.038	2.955	324.101	0.214
1595485762.05613	228.467	0.038	2.966	323.940	0.206
1595485762.09419	228.503	0.038	3.042	324.182	0.215
1595485762.10690	228.525	0.038	2.995	324.021	0.210
1595485762.14513	228.523	0.038	3.029	324.101	0.212
1595485762.15264	228.484	0.038	2.969	324.101	0.214
1595485762.19111	228.488	0.038	2.961	323.940	0.206
1595485762.20166	228.475	0.038	2.979	323.940	0.212
1595485762.21212	228.539	0.038	2.968	324.021	0.210
1595485762.25113	228.508	0.038	2.902	324.021	0.210
1595485762.26168	228.501	0.038	2.959	323.940	0.209
1595485762.27205	228.520	0.038	2.996	323.860	0.203
1595485762.31018	228.516	0.038	3.023	324.021	0.212
1595485762.31171	228.501	0.038	2.938	323.940	0.209
1595485762.35018	228.502	0.038	2.968	324.021	0.215
1595485762.36314	228.500	0.038	2.993	324.021	0.215
1595485762.37314	228.516	0.038	2.984	324.021	0.209
1595485762.41214	228.540	0.038	3.011	324.182	0.210
1595485762.42274	228.561	0.038	3.028	324.262	0.215
1595485762.43263	228.532	0.037	2.964	324.021	0.206
1595485762.47114	228.517	0.038	2.982	324.101	0.215
1595485762.47674	228.532	0.038	2.970	324.182	0.205
1595485762.51818	228.548	0.038	2.984	324.262	0.206
1595485762.52075	228.530	0.038	2.965	324.101	0.213
1595485762.53514	228.519	0.038	2.978	324.101	0.213
1595485762.57215	228.511	0.038	2.945	324.021	0.206
1595485762.57275	228.479	0.037	2.938	324.021	0.202
1595485762.61092	228.462	0.038	3.016	324.021	0.214
1595485762.63315	228.492	0.038	2.978	323.860	0.214
1595485762.67115	228.459	0.038	2.943	324.021	0.214
1595485762.68220	228.476	0.038	2.972	323.940	0.209
1595485762.69209	228.503	0.038	2.962	324.101	0.209
1595485762.73020	228.506	0.038	2.991	323.940	0.211
1595485762.73476	228.541	0.038	3.014	324.101	0.211
1595485762.77217	228.519	0.038	2.983	323.940	0.205
1595485762.79282	228.534	0.038	3.005	323.940	0.211
1595485762.83115	228.560	0.038	2.986	323.940	0.211
1595485762.85516	228.540	0.038	2.994	324.101	0.216
1595485762.89315	228.507	0.038	2.959	324.101	0.213
1595485762.89475	228.544	0.038	3.006	324.101	0.216
1595485762.93218	228.519	0.038	2.961	323.940	0.215
1595485762.97216	228.475	0.038	2.985	324.101	0.217
1595485762.97275	228.481	0.038	2.983	324.021	0.207
1595485763.01518	228.532	0.038	2.949	323.940	0.214
1595485763.05317	228.550	0.038	3.015	323.940	0.211
1595485763.05373	228.511	0.038	2.990	324.021	0.211
1595485763.09213	228.530	0.038	2.984	323.860	0.206
1595485763.13916	228.553	0.038	3.020	323.860	0.211
1595485763.14177	228.541	0.038	3.041	323.860	0.210
1595485763.18014	228.516	0.038	2.991	323.940	0.211
1595485763.19216	228.523	0.038	2.954	324.021	0.215
1595485763.23017	228.631	0.038	3.032	324.021	0.216
1595485763.26817	228.587	0.038	2.985	324.182	0.212
1595485763.26873	228.581	0.038	2.974	323.940	0.206
1595485763.30717	228.632	0.038	3.026	324.101	0.209
1595485763.34518	228.631	0.038	2.991	324.101	0.215
1595485763.34671	228.605	0.038	2.979	324.101	0.212
1595485763.38627	228.610	0.038	3.015	324.182	0.205
1595485763.38663	228.592	0.037	2.964	324.182	0.204
1595485763.39918	228.621	0.038	2.997	324.182	0.213
1595485763.41317	228.647	0.038	3.043	324.262	0.218
1595485763.45212	228.608	0.038	2.964	324.182	0.213
1595485763.45876	228.558	0.038	2.894	324.262	0.213
