Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 10.48ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 21.95ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 15.80ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 12.59ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 25.56ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 26.86ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 18.88ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 28.41ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 14.15ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 17.50ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 14.63ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 19.96ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 31.38ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 16.78ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 32.83ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 19.04ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 18.28ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 18.73ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 23.06ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 19.66ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 20.30ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 19.16ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 18.39ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 33.73ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 31.85ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 11.79ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 20.72ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 17.69ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 29.06ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 19.64ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 10.73ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 19.38ms
32 sent, 32 received, 0% loss
