# timestamp	V	A	W	V	A
1595428582.10039	1278.811	0.186	95.911	324.101	0.174
1595428582.12035	230.121	0.033	3.093	324.182	0.167
1595428582.15840	230.189	0.033	3.054	324.101	0.165
1595428582.15902	230.160	0.034	3.113	324.101	0.169
1595428582.18036	230.177	0.033	3.099	324.101	0.168
1595428582.19035	230.086	0.033	3.068	324.101	0.164
1595428582.22837	230.095	0.033	3.106	324.021	0.164
1595428582.23034	230.149	0.034	3.119	324.021	0.171
1595428582.26963	230.142	0.034	3.109	323.940	0.168
1595428582.28987	230.133	0.033	3.130	324.021	0.158
1595428582.33581	230.173	0.033	3.116	323.940	0.170
1595428582.34381	230.145	0.033	3.110	324.182	0.168
1595428582.38119	230.187	0.033	3.167	324.021	0.165
1595428582.38300	230.127	0.033	3.098	324.021	0.161
1595428582.39195	230.177	0.033	3.116	324.021	0.168
1595428582.42888	230.113	0.033	3.101	324.021	0.168
1595428582.43996	230.096	0.033	3.116	323.860	0.165
1595428582.45135	230.121	0.033	3.131	324.021	0.164
1595428582.48935	230.122	0.033	3.106	324.021	0.165
1595428582.49996	230.054	0.033	3.063	324.021	0.170
1595428582.51035	230.000	0.033	3.059	324.021	0.173
1595428582.54838	230.008	0.034	3.129	323.940	0.169
1595428582.55006	230.015	0.034	3.081	324.021	0.168
1595428582.59137	230.021	0.033	3.071	323.940	0.169
1595428582.60135	230.029	0.034	3.081	323.940	0.171
1595428582.61305	230.004	0.033	3.064	323.779	0.170
1595428582.65100	230.024	0.034	3.117	323.940	0.171
1595428582.66401	230.000	0.034	3.086	323.860	0.169
1595428582.70136	230.006	0.034	3.072	323.940	0.174
1595428582.70300	229.975	0.033	3.092	323.860	0.173
1595428582.71135	229.974	0.033	3.101	324.021	0.167
1595428582.74939	229.951	0.033	3.106	323.940	0.164
1595428582.75994	229.975	0.033	3.106	324.021	0.166
1595428582.77036	229.982	0.034	3.093	323.860	0.171
1595428582.80937	230.001	0.033	3.072	323.779	0.163
1595428582.82038	230.014	0.033	3.120	323.860	0.164
1595428582.83038	230.034	0.033	3.101	323.860	0.161
1595428582.86937	229.980	0.033	3.110	323.940	0.167
1595428582.87094	230.004	0.033	3.104	323.779	0.169
1595428582.92333	229.981	0.033	3.087	323.860	0.165
1595428582.92501	229.963	0.033	3.085	323.779	0.162
1595428582.92999	229.978	0.034	3.141	323.779	0.165
1595428582.97539	229.949	0.033	3.125	323.779	0.168
1595428583.01344	229.927	0.034	3.103	323.779	0.174
1595428583.05836	229.945	0.033	3.097	323.779	0.167
1595428583.05902	229.971	0.033	3.095	323.940	0.168
1595428583.07040	229.981	0.033	3.073	323.940	0.166
1595428583.10840	229.977	0.033	3.055	324.021	0.164
1595428583.13015	230.000	0.033	3.113	324.101	0.165
1595428583.16842	230.006	0.033	3.065	324.021	0.166
1595428583.19041	230.035	0.033	3.122	324.021	0.163
1595428583.22843	230.023	0.033	3.097	324.021	0.164
1595428583.24003	230.028	0.033	3.111	323.940	0.168
1595428583.25004	230.022	0.033	3.120	324.101	0.167
1595428583.28937	230.073	0.033	3.113	324.101	0.162
1595428583.29939	230.045	0.033	3.077	324.021	0.166
1595428583.31039	230.031	0.033	3.087	324.021	0.163
1595428583.34938	230.042	0.034	3.093	323.940	0.170
1595428583.35003	230.012	0.033	3.093	324.021	0.168
1595428583.38838	230.062	0.034	3.104	324.182	0.169
1595428583.40312	230.019	0.033	3.068	323.860	0.162
1595428583.41309	230.002	0.033	3.052	323.699	0.165
1595428583.45116	229.976	0.034	3.108	323.699	0.169
1595428583.47039	229.981	0.033	3.056	323.779	0.165
1595428583.47826	229.979	0.033	3.092	323.860	0.163
1595428583.52819	229.956	0.033	3.036	323.860	0.165
1595428583.52901	229.910	0.034	3.078	323.699	0.170
1595428583.53005	229.903	0.034	3.092	323.779	0.171
1595428583.56836	229.895	0.034	3.095	323.699	0.171
1595428583.57806	229.867	0.033	3.078	323.779	0.165
1595428583.60001	229.874	0.033	3.067	323.779	0.162
1595428583.61038	229.926	0.034	3.089	323.699	0.171
1595428583.64845	229.929	0.033	3.073	323.860	0.164
1595428583.67041	229.910	0.034	3.128	323.779	0.167
1595428583.70843	229.892	0.033	3.077	323.860	0.167
1595428583.73019	229.904	0.033	3.096	323.940	0.162
1595428583.77440	229.904	0.033	3.083	323.860	0.165
1595428583.79040	229.923	0.033	3.113	323.779	0.166
1595428583.79606	229.919	0.033	3.104	323.779	0.169
1595428583.83441	229.934	0.033	3.045	323.779	0.166
1595428583.83746	229.863	0.034	3.079	323.699	0.166
1595428583.87443	229.905	0.033	3.074	323.699	0.166
1595428583.88743	229.866	0.033	3.098	323.618	0.164
1595428583.90342	229.880	0.033	3.084	323.618	0.168
1595428583.92042	229.854	0.034	3.098	323.779	0.170
1595428583.95844	229.880	0.034	3.108	323.538	0.167
1595428583.95906	229.869	0.034	3.129	323.699	0.171
1595428583.98041	229.853	0.034	3.152	323.538	0.170
1595428583.99107	229.857	0.034	3.085	323.699	0.175
1595428584.02944	229.862	0.034	3.116	323.699	0.170
1595428584.03997	229.882	0.034	3.105	323.699	0.165
1595428584.04999	229.895	0.034	3.087	323.860	0.168
1595428584.08941	229.893	0.034	3.073	323.860	0.170
1595428584.10108	229.898	0.034	3.088	323.860	0.174
1595428584.11103	229.893	0.033	3.055	323.860	0.163
1595428584.15742	229.892	0.034	3.114	323.940	0.166
1595428584.17006	229.990	0.033	3.103	323.860	0.176
1595428584.20818	229.993	0.033	3.064	323.779	0.170
1595428584.20906	230.016	0.034	3.158	323.779	0.169
1595428584.24811	229.994	0.033	3.080	323.940	0.164
1595428584.26640	229.929	0.033	3.065	323.779	0.165
1595428584.27407	229.927	0.034	3.141	323.860	0.170
1595428584.31340	229.934	0.033	3.087	323.779	0.169
1595428584.31409	229.925	0.033	3.080	323.699	0.166
1595428584.35544	229.921	0.033	3.074	323.779	0.163
1595428584.36602	229.972	0.034	3.083	323.779	0.170
1595428584.37603	229.999	0.034	3.101	323.860	0.171
1595428584.41540	229.980	0.033	3.051	323.779	0.166
1595428584.43143	229.942	0.034	3.055	323.860	0.167
1595428584.46943	229.944	0.034	3.084	323.860	0.173
1595428584.47007	229.924	0.034	3.082	323.779	0.168
1595428584.47103	229.944	0.033	3.072	323.860	0.165
1595428584.50942	229.934	0.033	3.056	323.779	0.165
1595428584.52046	229.977	0.033	3.135	323.860	0.166
1595428584.53012	229.966	0.034	3.100	323.940	0.167
1595428584.56843	229.968	0.033	3.110	323.860	0.167
1595428584.58043	229.983	0.033	3.156	323.940	0.161
1595428584.59008	230.001	0.033	3.123	324.021	0.164
1595428584.62843	229.959	0.033	3.104	323.860	0.166
1595428584.62912	229.990	0.034	3.099	323.860	0.173
1595428584.66642	229.968	0.033	3.078	323.860	0.162
1595428584.68342	230.003	0.034	3.112	323.940	0.165
1595428584.69314	230.041	0.033	3.106	323.860	0.167
1595428584.73045	230.032	0.033	3.052	323.940	0.167
1595428584.74339	229.960	0.033	3.069	324.021	0.165
1595428584.75316	229.984	0.033	3.141	323.779	0.169
1595428584.79441	229.993	0.033	3.104	324.021	0.169
1595428584.79902	229.997	0.034	3.094	323.940	0.171
1595428584.83645	230.016	0.034	3.092	324.101	0.170
1595428584.83810	229.996	0.034	3.080	323.940	0.171
1595428584.87843	229.963	0.033	3.074	323.860	0.168
1595428584.89123	229.966	0.034	3.082	323.940	0.171
1595428584.92923	229.957	0.033	3.071	323.860	0.168
1595428584.94045	229.938	0.034	3.092	323.860	0.171
1595428584.95106	229.939	0.033	3.089	323.940	0.166
1595428584.98949	229.932	0.033	3.060	323.779	0.168
1595428585.00008	229.928	0.033	3.088	324.021	0.176
1595428585.01014	229.960	0.033	3.120	323.860	0.169
1595428585.04846	229.983	0.033	3.088	323.940	0.163
1595428585.04912	229.984	0.033	3.085	323.940	0.168
1595428585.08646	229.967	0.033	3.088	323.860	0.169
1595428585.12522	229.956	0.033	3.082	323.940	0.167
1595428585.12602	229.974	0.034	3.083	324.021	0.170
