Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 12.56ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 27.97ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 18.67ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 17.66ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 25.68ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 34.67ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 17.65ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 21.68ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 24.75ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 25.66ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 23.67ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 25.66ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 23.67ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 24.68ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 23.66ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 23.74ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 28.67ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 21.65ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 24.68ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 24.67ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 23.67ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 25.67ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 24.66ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 24.87ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.90ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 10.39ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 18.84ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 20.26ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 24.62ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 11.52ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 18.98ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 18.60ms
32 sent, 32 received, 0% loss
