# timestamp	V	A	W	V	A
1594987574.52432	1076.762	0.017	377421.364	325.872	0.008
1594987574.53421	229.795	0.003	0.006	325.872	0.007
1594987574.58142	229.792	0.003	0.012	325.711	0.007
1594987574.62472	229.750	0.003	377421.582	325.791	0.007
1594987574.62723	229.743	0.003	377421.585	325.711	0.007
1594987574.66665	229.735	0.003	377421.575	325.872	0.008
1594987574.66728	229.721	0.003	377421.583	325.872	0.007
1594987574.67463	229.705	0.003	377421.583	325.711	0.008
1594987574.71267	229.655	0.003	377421.574	325.711	0.007
1594987574.71724	229.661	0.003	377421.574	325.711	0.007
1594987574.75625	229.690	0.003	377421.592	325.872	0.007
1594987574.75931	229.687	0.003	377421.566	325.711	0.007
1594987574.79673	229.725	0.003	377421.581	325.630	0.007
1594987574.79720	229.718	0.003	377421.591	325.952	0.008
1594987574.83517	229.688	0.003	377421.577	325.711	0.008
1594987574.83616	229.641	0.003	377421.588	325.711	0.007
1594987574.87433	229.700	0.003	0.000	325.711	0.007
1594987574.88471	229.732	0.003	377421.570	325.630	0.008
1594987574.92263	229.707	0.003	0.009	325.791	0.008
1594987574.93430	229.661	0.004	377421.593	325.630	0.009
1594987574.97222	229.631	0.003	377421.563	325.550	0.008
1594987574.97427	229.630	0.003	377421.590	325.550	0.007
1594987575.01166	229.678	0.003	0.002	325.630	0.008
1594987575.02428	229.639	0.004	377421.592	325.711	0.009
1594987575.03525	229.620	0.003	0.005	325.630	0.007
1594987575.07765	229.641	0.004	0.001	325.872	0.008
1594987575.08325	229.656	0.003	377421.575	325.630	0.008
1594987575.09465	229.665	0.003	377421.587	325.630	0.008
1594987575.13270	229.675	0.003	377421.561	325.630	0.007
1594987575.13431	229.666	0.003	377421.590	325.791	0.008
1594987575.17121	229.659	0.003	377421.589	325.872	0.008
1594987575.20945	229.678	0.003	0.000	325.630	0.008
1594987575.21130	229.660	0.003	377421.559	325.711	0.007
1594987575.22333	229.698	0.003	377421.591	325.550	0.007
1594987575.26171	229.712	0.003	0.000	325.711	0.008
1594987575.26233	229.676	0.003	377421.579	325.630	0.007
1594987575.28441	229.654	0.004	377421.575	325.630	0.007
1594987575.29420	229.610	0.003	377421.570	325.550	0.007
1594987575.33113	229.588	0.003	0.000	325.550	0.008
1594987575.34413	229.600	0.003	377421.572	325.630	0.007
1594987575.35568	229.600	0.003	377421.564	325.308	0.007
1594987575.39567	229.573	0.003	377421.569	325.469	0.007
1594987575.40568	229.594	0.003	0.001	325.550	0.007
