Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 11.50ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 23.02ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 17.62ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 18.63ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 24.68ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 19.79ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 28.63ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 24.42ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 32.90ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 18.59ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 9.63ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 19.62ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 18.62ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 22.67ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 10.67ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 26.61ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 18.62ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 16.38ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 27.16ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 23.62ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 29.65ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 19.67ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 27.68ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 21.60ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.65ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 26.64ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 22.44ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 24.84ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 25.68ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 17.64ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 30.73ms
32 sent, 32 received, 0% loss
