Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 12.51ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 34.00ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 18.63ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 13.87ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 25.66ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 17.39ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 31.86ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 24.62ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 27.65ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 22.62ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 30.63ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 17.65ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 24.64ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 22.63ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 27.63ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 22.61ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 26.62ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 22.62ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 17.65ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 31.64ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 32.60ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 17.65ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 11.64ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 20.89ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 18.90ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 21.69ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 25.67ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 10.76ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 17.57ms
32 sent, 32 received, 0% loss
