# timestamp	V	A	W	V	A
1595254920.78410	397.691	0.037	5.560	323.216	0.117
1595254920.78568	229.709	0.022	1.846	323.216	0.116
1595254920.79586	229.694	0.022	1.830	323.216	0.111
1595254920.83908	229.756	0.022	1.893	323.377	0.114
1595254920.84168	229.734	0.021	1.797	323.377	0.117
1595254920.85380	229.781	0.022	1.888	323.377	0.112
1595254920.89308	229.771	0.021	1.808	323.377	0.110
1595254920.89372	229.746	0.022	1.842	323.296	0.114
1595254920.93174	229.745	0.022	1.858	323.216	0.114
1595254920.97009	229.730	0.022	1.874	323.296	0.112
1595254920.97172	229.733	0.021	1.850	323.216	0.115
1595254920.98368	229.766	0.022	1.871	323.457	0.117
1595254921.02209	229.799	0.022	1.862	323.377	0.110
1595254921.02272	229.791	0.021	1.801	323.377	0.112
1595254921.04409	229.785	0.022	1.842	323.216	0.116
1595254921.05372	229.823	0.022	1.871	323.377	0.119
1595254921.09175	229.775	0.021	1.849	323.296	0.111
1595254921.12910	229.803	0.022	1.840	323.296	0.111
1595254921.13073	229.802	0.022	1.860	323.377	0.118
1595254921.14609	229.837	0.021	1.831	323.538	0.111
1595254921.15574	229.854	0.022	1.890	323.457	0.112
1595254921.19270	229.945	0.021	1.899	323.618	0.110
1595254921.20377	229.946	0.022	1.879	323.538	0.110
1595254921.21568	229.939	0.021	1.806	323.618	0.112
1595254921.25315	229.893	0.021	1.792	323.618	0.112
1595254921.26484	229.796	0.022	1.819	323.457	0.117
1595254921.27563	229.830	0.022	1.850	323.377	0.116
1595254921.31356	229.921	0.022	1.881	323.618	0.112
1595254921.32377	229.938	0.022	1.849	323.699	0.115
1595254921.33605	229.951	0.022	1.900	323.538	0.118
1595254921.37313	229.944	0.021	1.847	323.538	0.112
1595254921.38275	229.882	0.022	1.842	323.538	0.115
1595254921.43272	229.871	0.021	1.803	323.377	0.111
1595254921.43476	229.860	0.022	1.866	323.538	0.115
1595254921.43676	229.835	0.021	1.803	323.457	0.109
1595254921.47479	229.664	0.021	1.770	323.216	0.115
1595254921.51411	229.729	0.022	1.886	323.296	0.116
1595254921.51576	229.713	0.021	1.839	323.296	0.114
1595254921.53610	229.709	0.021	1.810	323.135	0.111
1595254921.57311	229.618	0.021	1.790	323.055	0.114
1595254921.58373	229.591	0.021	1.827	323.055	0.109
