Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 16.21ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 17.70ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 23.50ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 24.93ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 30.39ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 19.98ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 23.62ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 25.93ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 22.75ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 24.81ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 21.63ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 27.87ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 24.90ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 28.40ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 20.88ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 12.34ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 20.05ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 17.52ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 11.56ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 19.55ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 26.58ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 18.88ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 20.53ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 24.36ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.76ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 14.39ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 20.02ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 18.32ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 20.94ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 24.63ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 26.80ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 22.31ms
32 sent, 32 received, 0% loss
