Ping: 00:06:66:4D:F0:2F from 00:24:7E:77:86:83 (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 10.86ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 19.82ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 19.63ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 16.46ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 33.03ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 27.83ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 26.81ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 16.82ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 26.34ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 29.97ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 19.10ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 30.68ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 19.06ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 9.47ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 20.89ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 26.79ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 23.07ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 19.63ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 13.90ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 20.65ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 13.88ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 30.72ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 19.58ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 11.73ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 18.55ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 13.53ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 19.36ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 18.94ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 35.78ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 18.76ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 30.83ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 34.65ms
32 sent, 32 received, 0% loss
