# timestamp	V	A	W	V	A
1598347972.69931	397.535	0.042	5.394	325.711	0.148
1598347972.69985	229.573	0.024	1.772	325.711	0.145
1598347972.70178	229.594	0.024	1.776	325.791	0.147
1598347972.73930	229.547	0.024	1.744	325.711	0.141
1598347972.73983	229.538	0.024	1.776	325.791	0.140
1598347972.78228	229.583	0.024	1.780	325.872	0.145
1598347972.80224	229.597	0.024	1.788	325.630	0.143
1598347972.83931	229.603	0.024	1.813	325.711	0.143
1598347972.88633	229.589	0.024	1.764	325.791	0.143
1598347972.88786	229.632	0.025	1.816	325.872	0.147
1598347972.90431	229.650	0.024	1.852	325.791	0.144
1598347972.94229	229.637	0.024	1.804	325.791	0.141
1598347972.94292	229.627	0.024	1.827	325.791	0.144
1598347972.95292	229.605	0.024	1.783	325.791	0.142
1598347972.99031	229.602	0.024	1.813	325.711	0.147
1598347972.99185	229.647	0.024	1.829	325.711	0.146
1598347973.00183	229.668	0.024	1.817	325.711	0.143
1598347973.03920	229.648	0.024	1.803	325.711	0.144
1598347973.05232	229.643	0.024	1.826	325.711	0.143
1598347973.06231	229.622	0.024	1.790	325.791	0.145
1598347973.09931	229.632	0.024	1.815	325.711	0.148
1598347973.11231	229.657	0.025	1.838	325.791	0.144
1598347973.12186	229.636	0.024	1.772	325.791	0.145
1598347973.15929	229.599	0.024	1.796	325.711	0.145
1598347973.15985	229.654	0.024	1.820	325.791	0.143
1598347973.19831	229.619	0.024	1.751	325.630	0.148
1598347973.21935	229.603	0.024	1.829	325.791	0.147
1598347973.23831	229.621	0.024	1.792	325.711	0.146
1598347973.25028	229.559	0.025	1.808	325.791	0.144
1598347973.29626	229.557	0.024	1.754	325.711	0.140
1598347973.30898	229.625	0.024	1.776	325.791	0.147
1598347973.34931	229.658	0.025	1.819	325.872	0.147
1598347973.37133	229.693	0.024	1.787	325.791	0.150
1598347973.39523	229.660	0.025	1.848	325.791	0.143
1598347973.43332	229.653	0.024	1.785	325.791	0.144
1598347973.43487	229.577	0.024	1.764	325.711	0.142
1598347973.44383	229.558	0.025	1.851	325.630	0.147
1598347973.48228	229.557	0.024	1.771	325.711	0.145
1598347973.48291	229.572	0.024	1.766	325.550	0.140
1598347973.50428	229.561	0.025	1.779	325.630	0.148
1598347973.53427	229.539	0.024	1.744	325.550	0.139
1598347973.55326	229.515	0.024	1.722	325.630	0.142
1598347973.56293	229.521	0.024	1.754	325.550	0.143
1598347973.60133	229.531	0.025	1.804	325.550	0.148
1598347973.60292	229.580	0.024	1.782	325.630	0.141
1598347973.64028	229.496	0.024	1.779	325.630	0.143
1598347973.65227	229.506	0.024	1.776	325.469	0.140
1598347973.68923	229.544	0.025	1.805	325.630	0.147
1598347973.68987	229.585	0.024	1.793	325.630	0.138
1598347973.74023	229.577	0.024	1.789	325.550	0.142
1598347973.74188	229.570	0.025	1.827	325.630	0.148
1598347973.74283	229.532	0.024	1.762	325.630	0.144
1598347973.78021	229.528	0.025	1.828	325.630	0.145
1598347973.78187	229.579	0.024	1.805	325.711	0.141
1598347973.82021	229.522	0.023	1.744	325.550	0.140
1598347973.82187	229.527	0.025	1.821	325.711	0.151
1598347973.86023	229.531	0.024	1.797	325.469	0.145
1598347973.87322	229.524	0.024	1.769	325.550	0.144
1598347973.88387	229.525	0.025	1.813	325.630	0.155
1598347973.92225	229.572	0.025	1.837	325.630	0.152
1598347973.92386	229.563	0.024	1.762	325.630	0.138
1598347973.96198	229.538	0.024	1.801	325.630	0.143
1598347973.97423	229.547	0.024	1.808	325.630	0.145
1598347973.98386	229.508	0.024	1.803	325.550	0.147
1598347974.01502	229.530	0.024	1.803	325.550	0.141
1598347974.05324	229.543	0.025	1.812	325.550	0.147
1598347974.05389	229.535	0.025	1.824	325.630	0.143
1598347974.07424	229.534	0.024	1.831	325.630	0.146
1598347974.11223	229.565	0.024	1.819	325.550	0.141
1598347974.11291	229.576	0.025	1.869	325.791	0.145
1598347974.13224	229.562	0.024	1.775	325.791	0.143
1598347974.14389	229.545	0.024	1.815	325.711	0.138
1598347974.18223	229.562	0.025	1.859	325.872	0.147
1598347974.19322	229.571	0.024	1.825	325.711	0.143
1598347974.20289	229.566	0.024	1.826	325.711	0.143
1598347974.24124	229.515	0.024	1.772	325.791	0.142
1598347974.24288	229.513	0.024	1.823	325.872	0.147
1598347974.28024	229.487	0.025	1.809	325.791	0.146
1598347974.29224	229.577	0.024	1.812	325.791	0.141
1598347974.30288	229.591	0.024	1.779	325.872	0.142
1598347974.34225	229.582	0.024	1.802	325.872	0.147
1598347974.36324	229.570	0.024	1.771	325.711	0.145
1598347974.41023	229.590	0.025	1.790	325.791	0.143
1598347974.44825	229.569	0.024	1.771	325.711	0.143
1598347974.44986	229.555	0.024	1.765	325.791	0.143
1598347974.46324	229.523	0.024	1.759	325.711	0.143
1598347974.50192	229.561	0.024	1.778	325.711	0.143
1598347974.51624	229.599	0.025	1.808	325.791	0.154
1598347974.52390	229.571	0.024	1.813	325.630	0.145
1598347974.56223	229.552	0.025	1.849	325.711	0.147
1598347974.56385	229.568	0.024	1.798	325.630	0.141
1598347974.60227	229.573	0.025	1.845	325.630	0.150
1598347974.62305	229.597	0.024	1.802	325.872	0.139
1598347974.66092	229.578	0.024	1.821	325.791	0.144
1598347974.67324	229.547	0.025	1.824	325.791	0.158
1598347974.68390	229.600	0.024	1.771	325.952	0.146
1598347974.73026	229.601	0.025	1.847	325.952	0.151
1598347974.76826	229.542	0.024	1.813	325.791	0.143
1598347974.76988	229.517	0.024	1.821	325.630	0.148
1598347974.78325	229.603	0.024	1.796	325.711	0.144
1598347974.81326	229.600	0.024	1.772	325.550	0.144
1598347974.82325	229.596	0.024	1.769	325.711	0.148
1598347974.86026	229.601	0.024	1.739	325.711	0.147
1598347974.87327	229.591	0.024	1.737	325.791	0.144
1598347974.88290	229.613	0.025	1.791	325.711	0.145
