# timestamp	V	A	W	V	A
1594392070.57332	1476.399	0.023	377421.225	324.986	0.008
1594392070.59448	230.522	0.003	0.009	324.906	0.007
1594392070.62348	230.490	0.003	377421.573	324.906	0.007
1594392070.63581	230.474	0.003	0.001	324.665	0.007
1594392070.64829	230.410	0.003	377421.591	324.745	0.008
1594392070.67330	230.352	0.003	377421.577	324.584	0.008
1594392070.69698	230.367	0.003	377421.593	324.504	0.007
1594392070.70582	230.375	0.003	377421.571	324.584	0.009
1594392070.73329	230.337	0.003	0.012	324.584	0.007
1594392070.75947	230.376	0.003	0.008	324.584	0.007
1594392070.77597	230.368	0.003	377421.570	324.745	0.007
1594392070.80449	230.400	0.003	0.017	324.665	0.008
1594392070.81704	230.424	0.003	377421.568	324.745	0.008
1594392070.82582	230.402	0.003	377421.580	324.665	0.008
1594392070.86320	230.423	0.003	0.000	324.665	0.008
1594392070.87582	230.408	0.003	377421.560	324.665	0.008
1594392070.88704	230.408	0.003	377421.581	324.745	0.008
1594392070.92197	230.454	0.003	377421.594	324.906	0.009
1594392070.94581	230.437	0.003	0.003	324.745	0.007
1594392070.96581	230.379	0.003	0.001	324.584	0.007
1594392070.99327	230.432	0.004	377421.578	324.665	0.008
1594392071.01448	230.377	0.003	377421.592	324.745	0.007
1594392071.02582	230.337	0.003	377421.584	324.825	0.008
1594392071.05205	230.328	0.003	377421.572	324.745	0.007
1594392071.06702	230.319	0.003	377421.574	324.665	0.008
1594392071.09202	230.367	0.003	377421.582	324.584	0.008
1594392071.12081	230.400	0.003	377421.584	324.665	0.008
1594392071.12703	230.343	0.003	377421.576	324.584	0.007
1594392071.14703	230.359	0.003	0.010	324.504	0.007
1594392071.18196	230.379	0.003	0.023	324.584	0.008
1594392071.18828	230.417	0.003	377421.572	324.584	0.008
1594392071.20582	230.460	0.004	377421.572	324.665	0.008
1594392071.23203	230.417	0.003	377421.573	324.584	0.007
1594392071.24582	230.420	0.003	377421.573	324.584	0.007
1594392071.27700	230.401	0.003	377421.582	324.665	0.008
1594392071.29328	230.467	0.003	377421.584	324.665	0.007
1594392071.30583	230.488	0.003	377421.581	324.745	0.007
1594392071.34197	230.498	0.003	0.002	324.825	0.008
1594392071.35703	230.492	0.003	377421.575	324.825	0.007
1594392071.36829	230.477	0.003	377421.585	324.986	0.008
1594392071.38583	230.549	0.003	377421.580	324.986	0.007
1594392071.41203	230.540	0.003	377421.587	324.986	0.008
1594392071.43582	230.535	0.003	0.004	324.986	0.008
1594392071.44583	230.579	0.003	0.019	325.067	0.008
1594392071.47204	230.528	0.004	0.027	325.067	0.008
1594392071.49572	230.557	0.003	377421.591	324.986	0.008
1594392071.50583	230.562	0.003	377421.593	325.067	0.007
1594392071.53205	230.560	0.003	377421.592	324.906	0.008
1594392071.54703	230.597	0.003	377421.586	324.825	0.007
1594392071.56828	230.530	0.003	377421.592	324.906	0.007
1594392071.60200	230.547	0.003	0.001	324.745	0.007
1594392071.60829	230.583	0.003	377421.569	324.906	0.007
1594392071.62583	230.598	0.003	377421.579	324.986	0.008
1594392071.65836	230.551	0.003	377421.592	324.906	0.007
1594392071.66706	230.495	0.003	377421.559	324.825	0.008
1594392071.68704	230.503	0.003	0.014	324.825	0.008
1594392071.71203	230.556	0.004	0.008	324.986	0.008
1594392071.72582	230.515	0.003	377421.585	324.825	0.007
1594392071.76199	230.522	0.003	0.002	324.825	0.008
1594392071.77582	230.488	0.003	0.024	324.825	0.007
1594392071.78702	230.558	0.003	377421.577	324.906	0.007
1594392071.82072	230.547	0.003	377421.573	325.067	0.008
1594392071.83703	230.542	0.003	377421.589	324.906	0.007
1594392071.84703	230.564	0.003	377421.577	325.067	0.008
1594392071.86452	230.533	0.003	0.018	324.986	0.008
1594392071.89328	230.561	0.003	377421.566	325.067	0.007
1594392071.91449	230.600	0.003	0.009	324.986	0.008
1594392071.92452	230.610	0.003	377421.589	324.986	0.007
1594392071.95203	230.637	0.003	0.004	325.067	0.008
1594392071.96452	230.568	0.003	0.004	324.906	0.007
1594392071.98453	230.589	0.003	377421.584	324.906	0.008
1594392072.01083	230.603	0.003	377421.588	324.906	0.008
1594392072.02453	230.589	0.003	0.014	325.067	0.007
1594392072.04583	230.558	0.003	377421.582	325.067	0.007
1594392072.07827	230.566	0.003	377421.581	324.906	0.008
1594392072.08588	230.609	0.003	377421.572	324.986	0.007
1594392072.10585	230.589	0.003	377421.561	324.825	0.007
1594392072.13203	230.593	0.003	377421.579	324.986	0.007
1594392072.14453	230.638	0.003	377421.581	324.986	0.007
1594392072.16583	230.570	0.003	377421.586	324.986	0.007
1594392072.19202	230.637	0.003	377421.579	325.067	0.007
1594392072.20583	230.642	0.003	377421.572	324.906	0.007
1594392072.23948	230.662	0.003	0.000	324.986	0.008
1594392072.25582	230.613	0.003	377421.561	324.986	0.007
1594392072.26583	230.543	0.003	377421.558	324.986	0.007
1594392072.28453	230.627	0.003	377421.581	324.986	0.007
1594392072.31203	230.633	0.003	377421.560	324.825	0.008
1594392072.32583	230.614	0.003	0.001	324.986	0.008
1594392072.34454	230.618	0.003	377421.571	325.067	0.007
1594392072.37206	230.573	0.003	377421.581	324.986	0.008
1594392072.39573	230.603	0.003	377421.584	324.906	0.008
1594392072.40584	230.607	0.003	377421.593	325.067	0.008
1594392072.43329	230.637	0.004	377421.590	325.067	0.008
1594392072.45445	230.602	0.003	377421.585	325.147	0.007
1594392072.46451	230.613	0.003	377421.564	325.067	0.008
1594392072.49203	230.713	0.003	377421.579	325.147	0.008
1594392072.50453	230.680	0.003	377421.591	324.986	0.007
1594392072.52584	230.690	0.003	377421.583	325.067	0.007
1594392072.55949	230.680	0.003	377421.590	325.067	0.007
1594392072.56828	230.478	0.003	377421.585	324.825	0.007
1594392072.58584	230.514	0.003	0.013	324.745	0.007
1594392072.61820	230.576	0.003	377421.573	324.825	0.008
1594392072.62583	230.626	0.003	377421.585	324.745	0.008
1594392072.64583	230.621	0.003	0.002	324.906	0.008
1594392072.67203	230.569	0.003	377421.565	324.986	0.008
1594392072.68584	230.573	0.003	377421.579	324.825	0.007
1594392072.71698	230.637	0.003	0.010	325.067	0.008
1594392072.74196	230.582	0.003	377421.591	325.147	0.007
1594392072.74951	230.596	0.003	0.008	325.147	0.007
1594392072.76454	230.574	0.003	377421.578	324.986	0.008
1594392072.79201	230.584	0.003	377421.592	324.986	0.008
1594392072.80584	230.593	0.003	0.000	325.067	0.007
1594392072.82591	230.617	0.003	0.021	325.067	0.008
1594392072.85203	230.611	0.003	377421.576	324.986	0.007
1594392072.86453	230.579	0.004	377421.584	324.906	0.008
1594392072.88584	230.609	0.003	0.004	324.986	0.007
1594392072.91202	230.614	0.003	377421.589	324.906	0.007
1594392072.92452	230.569	0.003	377421.578	324.745	0.007
1594392072.94452	230.549	0.003	0.031	324.825	0.008
1594392072.97084	230.542	0.003	377421.582	324.745	0.008
1594392072.98584	230.584	0.003	0.014	324.745	0.007
1594392073.00584	230.576	0.003	377421.585	324.665	0.008
1594392073.03202	230.576	0.003	377421.573	324.665	0.007
1594392073.04452	230.591	0.003	377421.587	324.906	0.008
1594392073.06585	230.562	0.003	377421.569	324.665	0.007
1594392073.09453	230.581	0.003	0.005	324.745	0.007
1594392073.10452	230.602	0.003	0.004	324.825	0.008
1594392073.12585	230.618	0.003	0.002	324.906	0.008
1594392073.15327	230.627	0.003	377421.583	324.986	0.008
1594392073.16827	230.581	0.003	377421.588	324.986	0.008
1594392073.18452	230.621	0.003	377421.585	324.825	0.008
1594392073.21452	230.659	0.003	0.011	324.986	0.007
1594392073.22830	230.631	0.003	0.009	324.986	0.007
1594392073.25824	230.621	0.003	377421.582	324.986	0.008
1594392073.27452	230.572	0.003	0.012	324.906	0.007
1594392073.28702	230.581	0.003	377421.587	324.825	0.007
1594392073.31447	230.600	0.003	0.005	324.825	0.008
1594392073.33328	230.607	0.003	377421.587	324.906	0.008
1594392073.35697	230.596	0.004	377421.581	324.825	0.008
1594392073.37722	230.566	0.003	0.005	324.906	0.008
1594392073.38954	230.647	0.003	377421.593	324.745	0.007
1594392073.41823	230.671	0.003	0.004	324.906	0.008
1594392073.42584	230.676	0.003	377421.569	324.986	0.008
1594392073.44585	230.676	0.003	0.016	324.906	0.007
1594392073.47950	230.641	0.003	0.004	324.825	0.008
1594392073.48584	230.681	0.003	377421.583	325.067	0.008
1594392073.52323	230.639	0.003	377421.564	324.825	0.007
1594392073.54451	230.586	0.003	0.003	324.906	0.008
1594392073.55203	230.603	0.003	377421.584	324.906	0.008
1594392073.58326	230.606	0.003	377421.585	324.825	0.008
1594392073.59703	230.631	0.003	377421.576	324.825	0.007
1594392073.60708	230.529	0.003	0.004	324.906	0.007
1594392073.63824	230.486	0.004	377421.584	324.584	0.008
1594392073.65455	230.516	0.003	377421.568	324.825	0.007
1594392073.67474	230.504	0.003	377421.566	324.745	0.008
1594392073.70471	230.490	0.003	377421.594	324.665	0.008
1594392073.71703	230.490	0.003	377421.586	324.665	0.007
1594392073.73572	230.508	0.003	377421.574	324.745	0.007
