Ping: 00:06:66:4D:F0:2F from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 32.93ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 19.86ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 9.88ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 24.88ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 10.87ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 18.89ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 16.89ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 10.89ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 24.87ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 10.87ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 46.90ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 43.87ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 18.88ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 43.87ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 29.92ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 56.87ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 42.89ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 13.89ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 21.86ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 32.88ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 26.90ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 17.88ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 10.87ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 23.88ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 10.88ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 40.87ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 17.88ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 32.88ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 26.88ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 42.88ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 18.89ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 17.87ms
32 sent, 32 received, 0% loss
