Ping: 00:06:66:4D:F0:2F from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 30.92ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 24.89ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 28.87ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 19.88ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 54.89ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 54.88ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 28.88ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 29.91ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 9.87ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 23.89ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 9.87ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 25.91ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 27.87ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 11.91ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 21.88ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 22.92ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 16.88ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 10.92ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 24.87ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 54.86ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 17.88ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 21.87ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 31.87ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 28.88ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 27.88ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 29.88ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 27.88ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 9.89ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 25.90ms
32 sent, 32 received, 0% loss
