Ping: 00:06:66:4D:F0:2F from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 23.93ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 29.86ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 27.89ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 25.87ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 31.88ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 26.87ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 7.88ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 26.87ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 32.88ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 62.87ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 17.87ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 10.87ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 25.88ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 28.87ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 35.87ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 23.87ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 22.89ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 18.89ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 29.87ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 27.88ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 18.89ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 17.87ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 9.89ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 24.87ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 52.87ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 13.88ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 23.87ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 31.88ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 21.88ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 45.89ms
32 sent, 32 received, 0% loss
