# timestamp	V	A	W	V	A
1607115797.51025	233.123	0.029	2.819	326.033	0.133
1607115797.51223	233.079	0.029	2.770	326.113	0.132
1607115797.54522	233.150	0.029	2.761	326.113	0.133
1607115797.58123	233.118	0.029	2.756	325.952	0.132
1607115797.58322	233.099	0.028	2.770	326.033	0.128
1607115797.58422	233.078	0.029	2.751	326.033	0.129
1607115797.61723	233.090	0.028	2.695	325.952	0.126
1607115797.64823	233.151	0.029	2.784	325.952	0.130
1607115797.64922	233.122	0.029	2.785	326.194	0.132
1607115797.68222	233.130	0.029	2.784	326.113	0.135
1607115797.71522	233.138	0.029	2.709	326.033	0.133
1607115797.71721	233.124	0.029	2.791	326.194	0.138
1607115797.74822	233.106	0.029	2.809	325.872	0.138
1607115797.74921	233.091	0.029	2.822	325.952	0.133
1607115797.78221	233.091	0.029	2.806	326.113	0.135
1607115797.81322	233.062	0.029	2.771	326.033	0.135
1607115797.81421	233.060	0.029	2.853	326.033	0.134
1607115797.84721	233.086	0.029	2.800	325.952	0.135
1607115797.84821	233.083	0.029	2.736	326.113	0.135
1607115797.88120	233.066	0.029	2.721	326.033	0.134
1607115797.91221	233.075	0.029	2.789	326.033	0.134
1607115797.91320	233.003	0.029	2.802	326.033	0.134
1607115797.94620	233.042	0.029	2.824	326.033	0.132
1607115797.97721	233.032	0.029	2.832	325.872	0.132
1607115797.97820	233.111	0.029	2.843	326.194	0.130
1607115797.98620	233.069	0.029	2.825	325.952	0.134
1607115798.01820	233.044	0.029	2.789	326.033	0.134
1607115798.05119	233.067	0.029	2.800	325.952	0.131
1607115798.05220	233.117	0.029	2.849	326.033	0.135
1607115798.08319	233.039	0.029	2.757	326.033	0.131
1607115798.08419	233.066	0.029	2.783	325.952	0.133
1607115798.11620	233.073	0.029	2.767	326.033	0.133
1607115798.14719	232.939	0.029	2.699	325.872	0.131
1607115798.14819	232.997	0.029	2.765	325.791	0.131
1607115798.17919	233.028	0.029	2.773	325.952	0.136
1607115798.21219	233.005	0.029	2.870	325.872	0.134
1607115798.21318	232.947	0.029	2.769	325.872	0.135
1607115798.24420	232.936	0.029	2.838	325.872	0.133
1607115798.27619	233.007	0.029	2.837	326.033	0.134
1607115798.27718	232.980	0.029	2.706	325.872	0.130
1607115798.30819	233.013	0.029	2.766	325.791	0.129
1607115798.30918	233.074	0.029	2.806	326.113	0.129
1607115798.34218	233.054	0.029	2.749	326.033	0.130
1607115798.37518	233.070	0.029	2.755	325.952	0.130
1607115798.37618	233.028	0.029	2.706	326.033	0.139
1607115798.40819	233.034	0.029	2.752	325.711	0.133
1607115798.41619	233.038	0.029	2.740	325.791	0.135
1607115798.45119	233.012	0.029	2.823	325.791	0.134
1607115798.45218	233.026	0.029	2.821	325.872	0.130
1607115798.48319	232.973	0.029	2.812	326.033	0.132
1607115798.51518	232.941	0.029	2.815	325.711	0.138
1607115798.51717	233.014	0.029	2.848	325.952	0.135
1607115798.55017	232.952	0.029	2.822	325.952	0.134
1607115798.55117	232.885	0.029	2.817	325.872	0.135
1607115798.58218	232.947	0.029	2.872	325.872	0.132
1607115798.58317	232.908	0.029	2.823	325.791	0.136
