# timestamp	V	A	W	V	A
1605719853.10457	1132.479	0.106	39.902	327.929	0.131
1605719853.10855	231.349	0.021	1.639	327.767	0.120
1605719853.11755	231.368	0.021	1.665	327.929	0.123
1605719853.16255	231.361	0.022	1.707	327.767	0.122
1605719853.16655	231.361	0.021	1.689	328.010	0.125
1605719853.17755	231.356	0.022	1.668	327.929	0.121
1605719853.21155	231.411	0.022	1.688	327.848	0.125
1605719853.23756	231.372	0.021	1.640	327.929	0.126
1605719853.24154	231.377	0.022	1.659	328.010	0.123
1605719853.26554	231.349	0.021	1.657	327.929	0.124
1605719853.31154	231.314	0.021	1.644	327.848	0.121
1605719853.31454	231.332	0.022	1.684	327.929	0.124
1605719853.33054	231.353	0.021	1.617	327.686	0.122
1605719853.37254	231.322	0.022	1.728	327.848	0.130
1605719853.37753	231.276	0.021	1.634	327.686	0.121
1605719853.38553	231.312	0.022	1.689	327.686	0.126
1605719853.39753	231.359	0.022	1.704	327.767	0.127
1605719853.43653	231.363	0.021	1.670	327.767	0.124
1605719853.44453	231.362	0.021	1.652	327.848	0.124
1605719853.46653	231.383	0.022	1.706	327.848	0.130
1605719853.47753	231.365	0.021	1.645	327.848	0.123
1605719853.52053	231.365	0.021	1.651	327.767	0.124
1605719853.53052	231.392	0.022	1.661	327.848	0.124
1605719853.53453	231.373	0.022	1.677	327.929	0.129
1605719853.57453	231.356	0.022	1.695	327.767	0.124
1605719853.58752	231.379	0.021	1.659	327.848	0.127
1605719853.59752	231.407	0.022	1.703	327.929	0.124
1605719853.64552	231.394	0.022	1.684	327.767	0.125
1605719853.65952	231.367	0.021	1.650	327.848	0.122
1605719853.70551	231.371	0.021	1.662	328.091	0.125
1605719853.70751	231.413	0.022	1.669	327.848	0.122
1605719853.71951	231.387	0.021	1.646	327.929	0.121
1605719853.75951	231.402	0.022	1.680	327.848	0.123
1605719853.76151	231.407	0.021	1.632	327.767	0.124
1605719853.78651	231.438	0.022	1.715	327.929	0.126
1605719853.81151	231.476	0.021	1.669	327.929	0.121
1605719853.81551	231.546	0.022	1.662	328.010	0.126
1605719853.86450	231.576	0.022	1.704	328.172	0.133
