Ping: 00:06:66:4D:F4:AE from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F4:AE id 0 time 23.93ms
4 bytes from 00:06:66:4D:F4:AE id 1 time 30.86ms
4 bytes from 00:06:66:4D:F4:AE id 2 time 20.86ms
4 bytes from 00:06:66:4D:F4:AE id 3 time 43.88ms
4 bytes from 00:06:66:4D:F4:AE id 4 time 29.86ms
4 bytes from 00:06:66:4D:F4:AE id 5 time 36.87ms
4 bytes from 00:06:66:4D:F4:AE id 6 time 46.90ms
4 bytes from 00:06:66:4D:F4:AE id 7 time 7.87ms
4 bytes from 00:06:66:4D:F4:AE id 8 time 28.89ms
4 bytes from 00:06:66:4D:F4:AE id 9 time 28.87ms
4 bytes from 00:06:66:4D:F4:AE id 10 time 33.88ms
4 bytes from 00:06:66:4D:F4:AE id 11 time 26.89ms
4 bytes from 00:06:66:4D:F4:AE id 12 time 28.88ms
4 bytes from 00:06:66:4D:F4:AE id 13 time 28.87ms
4 bytes from 00:06:66:4D:F4:AE id 14 time 20.88ms
4 bytes from 00:06:66:4D:F4:AE id 15 time 12.89ms
4 bytes from 00:06:66:4D:F4:AE id 16 time 20.87ms
4 bytes from 00:06:66:4D:F4:AE id 17 time 29.89ms
4 bytes from 00:06:66:4D:F4:AE id 18 time 28.89ms
4 bytes from 00:06:66:4D:F4:AE id 19 time 29.87ms
4 bytes from 00:06:66:4D:F4:AE id 20 time 38.89ms
4 bytes from 00:06:66:4D:F4:AE id 21 time 7.90ms
4 bytes from 00:06:66:4D:F4:AE id 22 time 26.89ms
4 bytes from 00:06:66:4D:F4:AE id 23 time 28.88ms
4 bytes from 00:06:66:4D:F4:AE id 24 time 27.89ms
4 bytes from 00:06:66:4D:F4:AE id 25 time 35.88ms
4 bytes from 00:06:66:4D:F4:AE id 26 time 30.88ms
4 bytes from 00:06:66:4D:F4:AE id 27 time 28.89ms
4 bytes from 00:06:66:4D:F4:AE id 28 time 12.88ms
4 bytes from 00:06:66:4D:F4:AE id 29 time 15.89ms
4 bytes from 00:06:66:4D:F4:AE id 30 time 18.88ms
4 bytes from 00:06:66:4D:F4:AE id 31 time 8.89ms
32 sent, 32 received, 0% loss
