# timestamp	V	A	W	V	A
1605947649.12218	1236.846	0.103	47.225	326.596	0.100
1605947649.15416	233.951	0.019	1.694	326.596	0.093
1605947649.15514	234.006	0.020	1.723	326.677	0.094
1605947649.18915	233.985	0.019	1.695	326.516	0.097
1605947649.22314	233.939	0.020	1.715	326.435	0.095
1605947649.22414	233.885	0.020	1.701	326.516	0.098
1605947649.22514	233.864	0.019	1.642	326.516	0.096
1605947649.25714	233.945	0.020	1.722	326.516	0.098
1605947649.28814	233.949	0.019	1.638	326.516	0.098
1605947649.32014	233.983	0.020	1.703	326.516	0.097
1605947649.32213	233.986	0.019	1.687	326.596	0.094
1605947649.35413	233.954	0.019	1.669	326.757	0.093
1605947649.35713	233.984	0.019	1.701	326.596	0.103
1605947649.38814	233.974	0.019	1.667	326.516	0.096
1605947649.39013	234.000	0.019	1.691	326.677	0.094
1605947649.42213	233.974	0.020	1.687	326.677	0.102
1605947649.42312	233.925	0.020	1.663	326.596	0.102
1605947649.45512	234.002	0.019	1.692	326.516	0.096
1605947649.48713	234.007	0.020	1.700	326.596	0.098
1605947649.49312	233.987	0.019	1.657	326.677	0.095
1605947649.52413	233.937	0.019	1.638	326.596	0.092
1605947649.52512	233.927	0.019	1.646	326.516	0.094
1605947649.56112	233.922	0.019	1.688	326.435	0.094
1605947649.56212	233.887	0.019	1.675	326.435	0.096
1605947649.59312	233.881	0.019	1.685	326.435	0.095
1605947649.62912	233.925	0.019	1.705	326.596	0.096
1605947649.63012	233.922	0.020	1.723	326.516	0.100
1605947649.66412	233.946	0.019	1.684	326.596	0.103
1605947649.69713	233.954	0.020	1.695	326.435	0.096
1605947649.69811	233.957	0.019	1.684	326.596	0.097
1605947649.73111	233.914	0.019	1.665	326.596	0.098
1605947649.73211	233.937	0.019	1.666	326.596	0.094
1605947649.76512	233.963	0.019	1.704	326.596	0.099
1605947649.77311	233.994	0.019	1.682	326.757	0.095
1605947649.80412	233.987	0.020	1.702	326.677	0.097
1605947649.83712	233.981	0.020	1.691	326.677	0.097
1605947649.84110	233.960	0.019	1.644	326.596	0.095
1605947649.84211	234.014	0.020	1.733	326.596	0.095
1605947649.87811	234.024	0.020	1.704	326.596	0.096
1605947649.90912	234.016	0.019	1.689	326.677	0.097
1605947649.91010	234.030	0.019	1.678	326.677	0.096
1605947649.94310	233.999	0.020	1.680	326.516	0.096
1605947649.94410	233.999	0.019	1.675	326.596	0.096
1605947649.97711	234.014	0.019	1.678	326.757	0.095
1605947650.01410	234.023	0.019	1.666	326.677	0.093
1605947650.05210	233.928	0.019	1.671	326.435	0.097
1605947650.05309	233.940	0.019	1.688	326.516	0.096
1605947650.08409	233.964	0.019	1.676	326.677	0.094
1605947650.11709	233.970	0.019	1.695	326.677	0.097
1605947650.11803	233.961	0.019	1.710	326.677	0.098
1605947650.14910	233.964	0.020	1.763	326.596	0.096
1605947650.15009	234.027	0.020	1.713	326.677	0.096
1605947650.18209	234.018	0.020	1.717	326.596	0.100
1605947650.21409	234.038	0.020	1.700	326.596	0.099
1605947650.21508	234.005	0.019	1.709	326.757	0.097
1605947650.24708	234.022	0.020	1.701	326.677	0.098
1605947650.25408	234.026	0.019	1.681	326.596	0.095
1605947650.28508	234.049	0.019	1.699	326.677	0.099
1605947650.31808	234.039	0.019	1.693	326.838	0.096
1605947650.32107	234.034	0.019	1.680	326.596	0.094
1605947650.32207	233.966	0.019	1.649	326.677	0.094
1605947650.35408	234.033	0.020	1.718	326.516	0.102
1605947650.38608	234.015	0.019	1.672	326.677	0.096
1605947650.38707	234.022	0.019	1.697	326.596	0.098
1605947650.41907	234.033	0.020	1.700	326.677	0.100
1605947650.42007	234.010	0.019	1.675	326.677	0.094
1605947650.45308	234.031	0.019	1.660	326.677	0.097
1605947650.48408	234.024	0.020	1.720	326.757	0.100
1605947650.48508	234.036	0.020	1.697	326.757	0.102
1605947650.51807	234.054	0.019	1.659	326.757	0.097
1605947650.54908	233.991	0.019	1.657	326.677	0.092
1605947650.55007	233.990	0.019	1.630	326.677	0.092
1605947650.58307	234.028	0.019	1.657	326.677	0.095
1605947650.58407	234.011	0.019	1.678	326.596	0.096
1605947650.61707	233.999	0.019	1.662	326.435	0.096
1605947650.65407	233.967	0.019	1.651	326.757	0.097
1605947650.65506	233.992	0.019	1.699	326.516	0.097
1605947650.68806	233.997	0.019	1.672	326.596	0.095
1605947650.68906	234.020	0.019	1.678	326.596	0.094
1605947650.72108	234.022	0.020	1.703	326.516	0.096
1605947650.72207	233.997	0.019	1.691	326.516	0.100
1605947650.77807	234.039	0.019	1.685	326.677	0.093
1605947650.78105	234.038	0.019	1.688	326.596	0.094
1605947650.81406	234.043	0.019	1.638	326.516	0.093
1605947650.81505	234.048	0.019	1.680	326.677	0.094
1605947650.84805	233.996	0.019	1.694	326.516	0.093
1605947650.84906	234.031	0.019	1.681	326.516	0.098
1605947650.88306	234.025	0.019	1.718	326.677	0.099
1605947650.88406	234.036	0.019	1.679	326.677	0.096
1605947650.91705	234.036	0.019	1.701	326.596	0.096
1605947650.92206	234.003	0.019	1.712	326.435	0.094
1605947650.95405	234.033	0.019	1.687	326.516	0.099
1605947650.98705	234.034	0.019	1.676	326.516	0.095
1605947650.98805	234.039	0.019	1.689	326.677	0.094
1605947651.02105	234.087	0.019	1.685	326.596	0.096
1605947651.02205	234.002	0.019	1.667	326.435	0.096
1605947651.07805	234.039	0.019	1.692	326.757	0.098
1605947651.07904	234.067	0.019	1.658	326.516	0.093
1605947651.08004	234.087	0.020	1.702	326.516	0.098
1605947651.11404	234.079	0.020	1.688	326.516	0.096
1605947651.14604	234.011	0.019	1.678	326.516	0.102
1605947651.14704	234.024	0.019	1.698	326.596	0.099
1605947651.18405	234.009	0.019	1.676	326.435	0.099
1605947651.18504	233.984	0.019	1.698	326.516	0.097
1605947651.21704	233.990	0.019	1.701	326.435	0.099
1605947651.24904	233.994	0.019	1.685	326.435	0.096
1605947651.25103	234.010	0.019	1.701	326.516	0.096
1605947651.28304	234.006	0.019	1.702	326.435	0.100
1605947651.28804	234.018	0.019	1.690	326.596	0.095
1605947651.32303	234.049	0.019	1.679	326.677	0.092
1605947651.32403	233.949	0.019	1.696	326.516	0.102
1605947651.35503	234.005	0.020	1.706	326.516	0.098
1605947651.38703	234.025	0.019	1.690	326.596	0.096
1605947651.38802	234.000	0.019	1.684	326.596	0.094
1605947651.41902	234.029	0.020	1.715	326.677	0.105
1605947651.45403	233.944	0.019	1.662	326.435	0.097
1605947651.45502	233.966	0.020	1.692	326.355	0.097
1605947651.48801	233.994	0.019	1.668	326.435	0.097
1605947651.48901	233.961	0.019	1.681	326.516	0.098
1605947651.52102	233.942	0.019	1.680	326.435	0.095
1605947651.55302	233.938	0.019	1.701	326.435	0.096
